"","location","days.post.fert","Treatment","family","adj_Length","minimum","maximum","n","v","se","na.rm"
"159","Kup",40,"T2","K4",20.8378,18.158,22.949,5,4.9240527,0.992376208904667,1
"160","Kup",40,"T2","K5",21.5534,16.323,26.27,5,18.3396073,1.91518183470917,1
"161","Kup",40,"T2","K6",22.54098,18.18516,26.8968,2,37.9463357448,4.35582,1
"162","Kup",40,"T2","K7",24.3212,22.081,25.535,5,2.5850812,0.719038413438392,1
"163","Kup",40,"T2","K9",20.3288,18.375,22.253,5,2.0890482,0.646381961381968,1
"164","Kup",40,"T3","K16",19.554696,18.29772,20.7774,5,0.919284468479998,0.428785370198191,1
"165","Kup",40,"T3","K2",27.54108,27.54108,27.54108,1,NA,NA,1
"166","Kup",40,"T3","K4",21.74277,19.2612,23.04708,4,2.9889815172,0.864433559795084,1
"167","Kup",40,"T3","K5",28.108752,25.79892,30.40884,5,3.89074945392,0.882128046705239,1
"168","Kup",40,"T3","K7",20.66232,16.78824,24.5364,2,30.0169916928,3.87408,1
"169","Kup",40,"T3","K8",31.1892,31.1892,31.1892,1,NA,NA,1
"170","Sag",15,"T2","O1",10.374336,9.64404,10.90236,10,0.18657823296,0.136593642956032,1
"171","Sag",15,"T3","O1",14.035308,10.37652,17.4804,10,5.61967970704,0.749645229894782,1
"172","Sag",15,"T3","O2",14.424228,12.68904,15.93648,10,1.31975769744,0.363284695168954,1
"173","Sag",20,"T2","O1",14.2324,12.399,14.795,10,0.517132933333334,0.227405570145793,1
"174","Sag",20,"T2","O2",13.7846,12.892,14.46,10,0.246013377777778,0.156848136035395,1
"175","Sag",20,"T2","O4",14.0648,12.64,15.424,10,0.881543511111111,0.296907984249516,1
"176","Sag",20,"T2","O6",13.853,12.943,14.608,5,0.3894765,0.279097294863279,1
"177","Sag",20,"T3","O2",13.6268125,12.516,15.501,16,0.6721589625,0.204963253185175,1
"178","Sag",20,"T3","O6",14.459,13.846,14.911,5,0.1615075,0.179726180619297,1
"179","Sag",25,"T1","O1",11.1954,10.993,11.364,5,0.0252118000000001,0.0710095768189053,1
"180","Sag",25,"T1","O2",10.9764,10.591,11.471,5,0.1749928,0.187079020737228,1
"181","Sag",25,"T1","O4",10.2305,9.76,11.351,4,0.562853666666667,0.375117870364325,1
"182","Sag",25,"T2","O1",14.964096,14.40768,15.393,5,0.20270921328,0.201350050052142,1
"183","Sag",25,"T2","O2",14.509488,12.6168,15.40728,5,1.19605917312,0.489092869119966,1
"184","Sag",25,"T2","O4",14.29512,13.1292,15.1284,5,1.110522672,0.471279677474002,1
"185","Sag",25,"T2","O5",16.113216,15.65088,17.03016,5,0.314584915679999,0.250832579893442,1
"186","Sag",25,"T2","O6",15.641808,15.08892,16.11708,5,0.19200942432,0.1959639886918,1
"187","Sag",25,"T3","O1",16.137912,14.82768,18.62028,5,2.36533504032,0.687798668262741,1
"188","Sag",25,"T3","O2",13.67352,12.41184,14.97552,7,0.9250942848,0.363533115960568,1
"189","Sag",25,"T3","O6",16.5354,15.3216,17.37456,5,0.661415327999999,0.363707390081642,1
"190","Sag",30,"T1","O2",13.4277,12.782,13.982,10,0.190018011111111,0.137847020682752,1
"191","Sag",30,"T1","O4",13.23684,12.8805,13.8521,10,0.0926821004444444,0.0962715432744507,1
"192","Sag",30,"T1","O5",11.764368,11.5836,11.93976,5,0.0183355099199999,0.0605566014898457,1
"193","Sag",30,"T1","O6",13.9937,13.374,14.801,10,0.1966449,0.140230132282616,1
"194","Sag",30,"T2","O1",17.53,16.754,18.896,9,0.5578305,0.248960170843986,1
"195","Sag",30,"T2","O2",16.8476,14.898,18.198,10,1.00755982222222,0.31742082827411,1
"196","Sag",30,"T2","O4",16.836792,14.1708,19.26876,5,4.13017893792,0.908865109674698,1
"197","Sag",30,"T2","O5",19.8933,17.57952,21.10164,6,1.76824679472,0.542869965203455,1
"198","Sag",30,"T3","O1",18.527712,17.87184,19.53336,5,0.59464101312,0.344859685414227,1
"199","Sag",30,"T3","O2",17.006808,14.28504,19.30068,5,3.29572685232,0.811877681959542,1
"200","Sag",30,"T3","O6",18.34728,14.49504,20.5548,5,6.57242586,1.14650999646754,1
"201","Sag",35,"T1","O1",14.0726,13.7,14.799,10,0.120764933333333,0.109893099571053,1
"202","Sag",35,"T1","O2",13.5995,12.735,14.396,10,0.195957833333334,0.139984939666142,1
"203","Sag",35,"T1","O4",14.2477476923077,12.369,16.9218,26,1.73562476605046,0.258369500317372,1
"204","Sag",35,"T1","O6",13.8706363636364,13.087,14.515,11,0.212590054545455,0.139019310151652,1
"205","Sag",35,"T2","O1",17.3004,16.269,19.681,5,1.9668558,0.627193080318972,1
"206","Sag",35,"T2","O2",19.3046,16.177,21.766,5,5.8110703,1.07806032298754,1
"207","Sag",35,"T2","O4",20.6068,17.529,23.136,5,5.6726512,1.06514329552413,1
"208","Sag",35,"T2","O5",22.1924666666667,19.2024,25.198,6,4.18863311466667,0.835527090590791,1
"209","Sag",35,"T2","O6",20.5437,16.905,22.572,10,3.7264889,0.610449744041227,1
"210","Sag",35,"T3","O1",21.423864,18.25236,24.8472,5,8.43398197488,1.29876725974133,1
