1-Wire/iButton Part Number: DS1921Z-F5
1-Wire/iButton Registration Number: 283B2000023E8221
Is Mission Active?  true
Mission Start:  Sat Jun 17 19:17:00 AKDT 2017
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  2174
Total Samples:  6509
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  26.375 �C
Low Temperature Alarm:  -5.5 �C

Date/Time,Unit,Value
6/17/17 7:17:00 PM,C,23.5
6/17/17 7:27:00 PM,C,20.25
6/17/17 7:37:00 PM,C,21.25
6/17/17 7:47:00 PM,C,21.125
6/17/17 7:57:00 PM,C,25.5
6/17/17 8:07:00 PM,C,12.125
6/17/17 8:17:00 PM,C,12
6/17/17 8:27:00 PM,C,12
6/17/17 8:37:00 PM,C,12
6/17/17 8:47:00 PM,C,12
6/17/17 8:57:00 PM,C,12.125
6/17/17 9:07:00 PM,C,12.125
6/17/17 9:17:00 PM,C,12.125
6/17/17 9:27:00 PM,C,12.125
6/17/17 9:37:00 PM,C,12
6/17/17 9:47:00 PM,C,12
6/17/17 9:57:00 PM,C,11.875
6/17/17 10:07:00 PM,C,11.75
6/17/17 10:17:00 PM,C,11.75
6/17/17 10:27:00 PM,C,11.75
6/17/17 10:37:00 PM,C,11.625
6/17/17 10:47:00 PM,C,11.75
6/17/17 10:57:00 PM,C,11.75
6/17/17 11:07:00 PM,C,11.75
6/17/17 11:17:00 PM,C,11.875
6/17/17 11:27:00 PM,C,11.875
6/17/17 11:37:00 PM,C,11.875
6/17/17 11:47:00 PM,C,11.875
6/17/17 11:57:00 PM,C,12
6/18/17 12:07:00 AM,C,12
6/18/17 12:17:00 AM,C,12
6/18/17 12:27:00 AM,C,12
6/18/17 12:37:00 AM,C,12
6/18/17 12:47:00 AM,C,12
6/18/17 12:57:00 AM,C,12
6/18/17 1:07:00 AM,C,12
6/18/17 1:17:00 AM,C,12
6/18/17 1:27:00 AM,C,12
6/18/17 1:37:00 AM,C,12
6/18/17 1:47:00 AM,C,12
6/18/17 1:57:00 AM,C,12
6/18/17 2:07:00 AM,C,12
6/18/17 2:17:00 AM,C,12
6/18/17 2:27:00 AM,C,12
6/18/17 2:37:00 AM,C,12.125
6/18/17 2:47:00 AM,C,12
6/18/17 2:57:00 AM,C,12.125
6/18/17 3:07:00 AM,C,12.125
6/18/17 3:17:00 AM,C,12.125
6/18/17 3:27:00 AM,C,12.125
6/18/17 3:37:00 AM,C,12.125
6/18/17 3:47:00 AM,C,12
6/18/17 3:57:00 AM,C,12
6/18/17 4:07:00 AM,C,12
6/18/17 4:17:00 AM,C,12
6/18/17 4:27:00 AM,C,12
6/18/17 4:37:00 AM,C,12
6/18/17 4:47:00 AM,C,12
6/18/17 4:57:00 AM,C,12
6/18/17 5:07:00 AM,C,12
6/18/17 5:17:00 AM,C,12
6/18/17 5:27:00 AM,C,12.125
6/18/17 5:37:00 AM,C,12.125
6/18/17 5:47:00 AM,C,12.125
6/18/17 5:57:00 AM,C,12.125
6/18/17 6:07:00 AM,C,12.125
6/18/17 6:17:00 AM,C,12.125
6/18/17 6:27:00 AM,C,12.125
6/18/17 6:37:00 AM,C,12.125
6/18/17 6:47:00 AM,C,12.25
6/18/17 6:57:00 AM,C,12.25
6/18/17 7:07:00 AM,C,12.25
6/18/17 7:17:00 AM,C,12.25
6/18/17 7:27:00 AM,C,12.25
6/18/17 7:37:00 AM,C,12.25
6/18/17 7:47:00 AM,C,12.25
6/18/17 7:57:00 AM,C,12.125
6/18/17 8:07:00 AM,C,12
6/18/17 8:17:00 AM,C,11.875
6/18/17 8:27:00 AM,C,11.75
6/18/17 8:37:00 AM,C,11.75
6/18/17 8:47:00 AM,C,11.625
6/18/17 8:57:00 AM,C,11.625
6/18/17 9:07:00 AM,C,11.625
6/18/17 9:17:00 AM,C,11.625
6/18/17 9:27:00 AM,C,11.75
6/18/17 9:37:00 AM,C,11.75
6/18/17 9:47:00 AM,C,11.875
6/18/17 9:57:00 AM,C,11.875
6/18/17 10:07:00 AM,C,12
6/18/17 10:17:00 AM,C,12
6/18/17 10:27:00 AM,C,12.125
6/18/17 10:37:00 AM,C,12.125
6/18/17 10:47:00 AM,C,12.125
6/18/17 10:57:00 AM,C,12.25
6/18/17 11:07:00 AM,C,12.25
6/18/17 11:17:00 AM,C,12.25
6/18/17 11:27:00 AM,C,12.25
6/18/17 11:37:00 AM,C,12.25
6/18/17 11:47:00 AM,C,12.25
6/18/17 11:57:00 AM,C,12.125
6/18/17 12:07:00 PM,C,12
6/18/17 12:17:00 PM,C,12
6/18/17 12:27:00 PM,C,11.875
6/18/17 12:37:00 PM,C,11.75
6/18/17 12:47:00 PM,C,11.625
6/18/17 12:57:00 PM,C,11.5
6/18/17 1:07:00 PM,C,11.5
6/18/17 1:17:00 PM,C,11.5
6/18/17 1:27:00 PM,C,11.625
6/18/17 1:37:00 PM,C,11.625
6/18/17 1:47:00 PM,C,11.75
6/18/17 1:57:00 PM,C,11.75
6/18/17 2:07:00 PM,C,11.875
6/18/17 2:17:00 PM,C,11.875
6/18/17 2:27:00 PM,C,12
6/18/17 2:37:00 PM,C,12
6/18/17 2:47:00 PM,C,12
6/18/17 2:57:00 PM,C,12.125
6/18/17 3:07:00 PM,C,12.125
6/18/17 3:17:00 PM,C,12.125
6/18/17 3:27:00 PM,C,12.125
6/18/17 3:37:00 PM,C,12
6/18/17 3:47:00 PM,C,12
6/18/17 3:57:00 PM,C,11.875
6/18/17 4:07:00 PM,C,11.875
6/18/17 4:17:00 PM,C,11.75
6/18/17 4:27:00 PM,C,11.625
6/18/17 4:37:00 PM,C,11.625
6/18/17 4:47:00 PM,C,11.625
6/18/17 4:57:00 PM,C,11.625
6/18/17 5:07:00 PM,C,11.625
6/18/17 5:17:00 PM,C,11.75
6/18/17 5:27:00 PM,C,11.75
6/18/17 5:37:00 PM,C,11.875
6/18/17 5:47:00 PM,C,11.875
6/18/17 5:57:00 PM,C,12
6/18/17 6:07:00 PM,C,12
6/18/17 6:17:00 PM,C,12
6/18/17 6:27:00 PM,C,12.125
6/18/17 6:37:00 PM,C,12.125
6/18/17 6:47:00 PM,C,12.125
6/18/17 6:57:00 PM,C,12.125
6/18/17 7:07:00 PM,C,12.125
6/18/17 7:17:00 PM,C,12.125
6/18/17 7:27:00 PM,C,12.125
6/18/17 7:37:00 PM,C,12.125
6/18/17 7:47:00 PM,C,12
6/18/17 7:57:00 PM,C,11.875
6/18/17 8:07:00 PM,C,11.75
6/18/17 8:17:00 PM,C,11.625
6/18/17 8:27:00 PM,C,11.625
6/18/17 8:37:00 PM,C,11.625
6/18/17 8:47:00 PM,C,11.625
6/18/17 8:57:00 PM,C,11.625
6/18/17 9:07:00 PM,C,11.625
6/18/17 9:17:00 PM,C,11.75
6/18/17 9:27:00 PM,C,11.75
6/18/17 9:37:00 PM,C,11.875
6/18/17 9:47:00 PM,C,11.875
6/18/17 9:57:00 PM,C,11.875
6/18/17 10:07:00 PM,C,12
6/18/17 10:17:00 PM,C,12
6/18/17 10:27:00 PM,C,12
6/18/17 10:37:00 PM,C,12
6/18/17 10:47:00 PM,C,12
6/18/17 10:57:00 PM,C,12
6/18/17 11:07:00 PM,C,12.125
6/18/17 11:17:00 PM,C,12.125
6/18/17 11:27:00 PM,C,12.125
6/18/17 11:37:00 PM,C,12.125
6/18/17 11:47:00 PM,C,12.125
6/18/17 11:57:00 PM,C,12.125
6/19/17 12:07:00 AM,C,12.125
6/19/17 12:17:00 AM,C,12
6/19/17 12:27:00 AM,C,12
6/19/17 12:37:00 AM,C,12
6/19/17 12:47:00 AM,C,12
6/19/17 12:57:00 AM,C,12
6/19/17 1:07:00 AM,C,12
6/19/17 1:17:00 AM,C,12
6/19/17 1:27:00 AM,C,12.125
6/19/17 1:37:00 AM,C,12.125
6/19/17 1:47:00 AM,C,12.125
6/19/17 1:57:00 AM,C,12.125
6/19/17 2:07:00 AM,C,12.125
6/19/17 2:17:00 AM,C,12.125
6/19/17 2:27:00 AM,C,12.125
6/19/17 2:37:00 AM,C,12.125
6/19/17 2:47:00 AM,C,12.125
6/19/17 2:57:00 AM,C,12.125
6/19/17 3:07:00 AM,C,12.125
6/19/17 3:17:00 AM,C,12.125
6/19/17 3:27:00 AM,C,12.125
