"","Location","Family","reared_wild","TreatmentTank","CG_temp","Resp_temp","Run","Tank","Probe","Vr_ml","Va_ml","length_mm","Ma_g","num_per_resp","Comments.x","data_notebook_time","data_notebook_DO","qmbl_file_DO_number","qmbl_file","back_slope","back_slope_corr","slope1","corr_slope1","slope2","corr_slope2","slope3","corr_slope3","Comments.y","mean_slope","DO_Slope_mg_L_min","VO2"
"62","Kuparuk","K9","reared","T2","12","8","6","3","8",204.2,0.197,NA,0.197,1,NA,9.55,10.29,"DO1","R6_T3_P789_08_07_2017",-0.005111,-0.8658,-0.0102,-0.9672,-0.008129,-0.8521,-0.006781,-0.8607,NA,-0.00837,-0.003259,0.202491099593909
"63","Sagavanirktok","O6","reared","T2","12","8","6","3","9",202.8,0.192,NA,0.192,1,NA,9.55,9.56,"DO2","R6_T3_P789_08_07_2017",-0.005566,-0.9539,-0.009925,-0.9911,-0.009451,-0.9646,-0.009504,-0.9728,NA,-0.00962666666666667,-0.00406066666666667,0.25710111
"64","Kuparuk","WK4","wild","T3","16","8","6","4","10",202.4,0.255,NA,0.255,1,NA,9.55,8.98,"DO3","R6_T4_P101112_08_07_2017",-0.004975,-0.8623,-0.006911,-0.9482,-0.00647,-0.8525,-0.006063,-0.7651,NA,-0.00648133333333333,-0.00150633333333333,0.0716465298039215
"66","Sagavanirktok","O1","reared","T1","8","8","6","4","12",204.2,0.13,NA,0.13,4,NA,9.55,9.47,"DO1","R6_T4_P101112_08_07_2017",-0.005727,-0.9405,-0.00806,-0.9692,-0.006558,-0.9218,-0.006469,-0.8456,NA,-0.007029,-0.001302,0.122630372307692
"67","Kuparuk","K12","reared","T1","8","16","7","1","1",201.8,0.178,NA,0.178,4,NA,13.55,8.92,"DO3","R7_T1_P123_08_08_2017",-0.003152,-0.9019,-0.01207,-0.9902,-0.009472,-0.981,-0.007143,-0.9787,NA,-0.00956166666666667,-0.00640966666666667,0.435616790786517
"68","Sagavanirktok","O4","reared","T1","8","16","7","1","2",201.6,0.239,NA,0.239,5,NA,13.55,9,"DO2","R7_T1_P123_08_08_2017",-0.001701,-0.818,-0.01581,-0.9914,-0.01405,-0.9931,-0.01157,-0.9957,NA,-0.01381,-0.012109,0.612120589707113
"69","Sagavanirktok","O6","reared","T1","8","16","7","1","3",199.2,0.184,NA,0.184,4,NA,13.55,9.14,"DO1","R7_T1_P123_08_08_2017",-0.001231,-0.763,-0.01102,-0.9768,-0.01053,-0.9841,-0.008142,-0.9848,NA,-0.00989733333333333,-0.00866633333333333,0.562414889565217
"70","Kuparuk","K8","reared","T2","12","8","7","2","4",200,0.209,NA,0.209,1,NA,13.55,10.24,"DO1","R7_T2_P46_08_08_2017",-0.002491,-0.7445,-0.008582,-0.9468,-0.007078,-0.9443,-0.006393,-0.9445,NA,-0.007351,-0.00486,0.278751462200957
"71","Sagavanirktok","O2","reared","T2","12","8","7","2","6",203.6,0.247,NA,0.247,1,NA,13.55,9.43,"DO2","R7_T2_P46_08_08_2017",-0.00155,-0.4462,-0.006258,-0.9243,-0.003357,-0.8372,-0.002642,-0.7192,NA,-0.00408566666666667,-0.00253566666666667,0.125255568502024
"72","Kuparuk","K2","reared","T1","8","16","7","3","7",204,0.121,NA,0.121,4,NA,13.55,8.86,"DO3","R7_T3_P789_08_08_2017",-0.001414,-0.7378,-0.008774,-0.9821,-0.00706,-0.9836,-0.005358,-0.9766,NA,-0.007064,-0.00565,0.571198190082645
"73","Sagavanirktok","O2","reared","T1","8","16","7","3","8",204.2,0.193,NA,0.193,4,NA,13.55,9.44,"DO1","R7_T3_P789_08_08_2017",-0.002224,-0.8095,-0.006319,-0.944,-0.007289,-0.9698,-0.008488,-0.9761,NA,-0.00736533333333333,-0.00514133333333333,0.326072950051814
"74","Kuparuk","K8","reared","T1","8","16","7","3","9",202.8,0.098,NA,0.098,4,NA,13.55,8.97,"DO2","R7_T3_P789_08_08_2017",-0.002322,-0.9095,-0.009257,-0.9932,-0.007887,-0.9933,-0.006743,-0.992,NA,-0.00796233333333333,-0.00564033333333333,0.699983784081633
"75","Kuparuk","K1","reared","T1","8","8","7","4","10",202.4,0.225,NA,0.225,4,NA,13.55,9.02,"DO3","R7_T4_P101112_08_08_2017",-0.001277,-0.6882,-0.01036,-0.9497,-0.008482,-0.958,-0.008649,-0.9397,NA,-0.00916366666666667,-0.00788666666666667,0.425196488888889
"76","Sagavanirktok","O1","reared","T1","8","8","7","4","11",203.4,0.158,NA,0.158,4,NA,13.55,9.34,"DO2","R7_T4_P101112_08_08_2017",-0.0008271,-0.3256,-0.007717,-0.9396,-0.005331,-0.9355,-0.005676,-0.9136,NA,-0.00624133333333333,-0.00541423333333333,0.417873270050633
"77","Kuparuk","K5","reared","T2","12","8","7","4","12",204.2,0.192,NA,0.192,1,NA,13.55,9.56,"DO1","R7_T4_P101112_08_08_2017",-0.001201,-0.6892,-0.0148,-0.726,-0.007119,-0.8251,-0.01094,-0.8466,NA,-0.010953,-0.009752,0.62171438
"78","Kuparuk","K12","reared","T1","8","16","8","1","1",201.8,0.175,NA,0.175,4,NA,28.35,8.98,"DO3","R8_T1_P123_08_08_2017",-0.00262,-0.9322,-0.01312,-0.9881,-0.01239,-0.9959,-0.01207,-0.9883,NA,-0.0125266666666667,-0.00990666666666667,0.684833714285714
"79","Sagavanirktok","O4","reared","T1","8","16","8","1","2",201.6,0.133,NA,0.133,1,NA,28.35,9.04,"DO2","R8_T1_P123_08_08_2017",-0.002848,-0.9485,-0.01057,-0.9741,-0.009283,-0.9918,-0.008729,-0.9863,NA,-0.00952733333333333,-0.00667933333333333,0.607067029473684
"80","Sagavanirktok","O6","reared","T1","8","16","8","1","3",199.2,0.279,NA,0.279,1,NA,28.35,9.22,"DO1","R8_T1_P123_08_08_2017",-0.002502,-0.921,-0.02205,-0.9842,-0.01762,-0.9968,-0.01845,-0.9953,NA,-0.0193733333333333,-0.0168713333333333,0.721733870537634
"81","Kuparuk","K8","reared","T2","12","8","8","2","4",200,0.189,NA,0.189,1,NA,302.93,9.08,"DO1","R8_T2_P46_08_08_2017",-0.003797,-0.9286,-0.01143,-0.9503,-0.009625,-0.9853,-0.009837,-0.9698,NA,-0.0102973333333333,-0.00650033333333333,0.412329556719577
"82","Sagavanirktok","O2","reared","T2","12","8","8","2","6",203.6,0.236,NA,0.236,1,NA,302.93,9.39,"DO2","R8_T2_P46_08_08_2017",-0.002843,-0.9056,-0.01408,-0.9809,-0.01115,-0.9869,-0.01145,-0.9706,NA,-0.0122266666666667,-0.00938366666666667,0.485161013898305
"83","Kuparuk","K2","reared","T1","8","16","8","3","7",204,0.183,NA,0.183,1,NA,28.35,8.97,"DO1","R8_T3_P789_08_08_2017",-0.001844,-0.8523,-0.01435,-0.9797,-0.01125,-0.9936,-0.0113,-0.9939,NA,-0.0123,-0.010456,0.698724771147541
"84","Kuparuk","K8","reared","T1","8","16","8","3","8",204.2,0.133,NA,0.133,4,NA,28.35,9.59,"DO2","R8_T3_P789_08_08_2017",-0.002288,-0.8702,-0.009747,-0.9616,-0.008865,-0.9826,-0.01044,-0.9811,NA,-0.009684,-0.007396,0.680877984360902
"85","Sagavanirktok","O2","reared","T1","8","16","8","3","9",202.8,0.106,NA,0.106,4,NA,28.35,9.13,"DO3","R8_T3_P789_08_08_2017",-0.002562,-0.9423,-0.01104,-0.9821,-0.009202,-0.9953,-0.009226,-0.9918,NA,-0.00982266666666667,-0.00726066666666667,0.833034095849057
"86","Sagavanirktok","O6","reared","T2","12","8","8","4","10",202.4,0.172,NA,0.172,1,NA,28.35,10.12,"DO3","R8_T4_P101112_08_08_2017",-0.00366,-0.8993,-0.01018,-0.9801,-0.009414,-0.9926,-0.01001,-0.9842,NA,-0.009868,-0.006208,0.437941194418605
"87","Kuparuk","K5","reared","T2","12","8","8","4","11",203.4,0.183,NA,0.183,1,NA,28.35,10.45,"DO2","R8_T4_P101112_08_08_2017",-0.00312,-0.871,-0.00958,-0.9579,-0.009801,-0.9874,-0.009232,-0.9664,NA,-0.00953766666666667,-0.00641766666666667,0.427599661311476
"88","Sagavanirktok","O2","reared","T2","12","8","8","4","12",204.2,0.235,NA,0.235,1,NA,28.35,10.85,"DO1","R8_T4_P101112_08_08_2017",-0.003329,-0.919,-0.00884,-0.97,-0.008878,-0.9891,-0.009954,-0.9912,NA,-0.009224,-0.005895,0.306989023404255
"89","Sagavanirktok","WO5","wild","T3","16","16","9","1","1",201.8,0.275,NA,0.275,1,NA,17.3,8.35,"DO1","R9_T1_P123_08_09_2017",-0.001639,-0.5505,-0.01415,-0.9815,-0.01201,-0.9575,-0.01445,-0.9802,NA,-0.0135366666666667,-0.0118976666666667,0.523129587272727
"90","Kuparuk","WK1","wild","T3","16","16","9","1","2",201.6,0.534,NA,0.534,1,NA,17.3,8.49,"DO2","R9_T1_P123_08_09_2017",-0.002125,-0.7884,-0.02123,-0.9884,-0.01938,-0.9764,-0.02007,-0.9876,NA,-0.0202266666666667,-0.0181016666666667,0.408947158426966
"91","Kuparuk","WK3","wild","T3","16","16","9","1","3",199.2,0.41,NA,0.41,1,NA,17.3,8.66,"DO3","R9_T1_P123_08_09_2017",-0.001138,-0.5543,-0.01644,-0.9513,-0.01879,-0.9237,-0.01605,-0.9449,NA,-0.0170933333333333,-0.0159553333333333,0.464160104390244
"92","Kuparuk","WK3","wild","T1","8","8","9","2","4",200,0.204,NA,0.204,1,NA,17.3,9.68,"DO3","R9_T2_P456_08_09_2017",-0.003942,-0.8202,-0.01197,-0.9413,-0.01269,-0.855,-0.01307,-0.9315,NA,-0.0125766666666667,-0.00863466666666667,0.507403488627451
"93","Kuparuk","WK2","wild","T1","8","8","9","2","5",203.6,0.063,NA,0.063,1,NA,17.3,8.62,"DO1","R9_T2_P456_08_09_2017",-0.002851,-0.8009,-0.005973,-0.9537,-0.005549,-0.8225,-0.007454,-0.9504,NA,-0.00632533333333333,-0.00347433333333333,0.673481317777778
"94","Kuparuk","WK5","wild","T1","8","8","9","2","6",204,0.117,NA,0.117,2,NA,17.3,9.35,"DO2","R9_T2_P456_08_09_2017",-0.005303,-0.6687,-0.007611,-0.8591,-0.006215,-0.6738,-0.01127,-0.9382,NA,-0.00836533333333333,-0.00306233333333333,0.32018343948718
"95","Sagavanirktok","WO1","wild","T3","16","16","9","3","7",204,0.31,NA,0.31,1,NA,17.3,8.39,"DO3","R9_T3_P789_08_09_2017",-0.0004286,-0.09021,-0.01701,-0.9911,-0.0145,-0.9704,-0.01301,-0.9638,NA,-0.01484,-0.0144114,0.568153174064516
"96","Sagavanirktok","WO3","wild","T3","16","16","9","3","8",204.2,0.367,NA,0.367,1,NA,17.3,8.5,"DO2","R9_T3_P789_08_09_2017",-0.003377,-0.8997,-0.02239,-0.9886,-0.02121,-0.9734,-0.01849,-0.9817,NA,-0.0206966666666667,-0.0173196666666667,0.57716396986376
"97","Kuparuk","WK5","wild","T3","16","16","9","3","9",202.8,0.381,NA,0.381,1,NA,17.3,9.14,"DO1","R9_T3_P789_08_09_2017",-0.00141,-0.5496,-0.01411,-0.9823,-0.01147,-0.9125,-0.008055,-0.8787,NA,-0.0112116666666667,-0.00980166666666667,0.312447805511811
"98","Sagavanirktok","WO1","wild","T1","8","8","9","4","10",202.4,0.176,NA,0.176,1,NA,17.3,9.83,"DO1","R9_T4_P101112_08_09_2017",-0.001305,-0.4569,-0.01132,-0.9477,-0.008418,-0.7451,-0.01294,-0.6825,NA,-0.0108926666666667,-0.00958766666666667,0.66097374
"99","Sagavanirktok","WO3","wild","T1","8","8","9","4","11",203.4,0.11,NA,0.11,1,NA,17.3,10.11,"DO2","R9_T4_P101112_08_09_2017",-0.001435,-0.3836,-0.007224,-0.914,-0.004668,-0.7011,-0.007534,-0.7021,NA,-0.00647533333333333,-0.00504033333333333,0.558899652727273
"100","Sagavanirktok","WO5","wild","T1","8","8","9","4","12",204.2,0.67,NA,0.67,2,NA,17.3,10.33,"DO3","R9_T4_P101112_08_09_2017",-0.003958,-0.8602,-0.009112,-0.9731,-0.007392,-0.9373,-0.009709,-0.8967,NA,-0.00873766666666667,-0.00477966666666667,0.0871169155223881
"101","Sagavanirktok","WO4","wild","T3","16","16","10","1","1",201.8,0.297,NA,0.297,1,NA,131,7.39,"DO1","R10_T1_P123_08_09_2017",-0.002899,-0.9105,-0.01435,-0.9887,-0.01868,-0.9948,-0.01642,-0.9948,NA,-0.0164833333333333,-0.0135843333333333,0.55298665043771
"102","Kuparuk","WK3","wild","T3","16","16","10","1","2",201.6,0.507,NA,0.507,1,NA,131,7.78,"DO2","R10_T1_P123_08_09_2017",-0.0009604,-0.5076,-0.0122,-0.9448,-0.022,-0.9605,-0.01594,-0.9824,NA,-0.0167133333333333,-0.0157529333333333,0.37488812104142
"103","Sagavanirktok","WO1","wild","T3","16","16","10","1","3",199.2,0.377,NA,0.377,1,NA,131,7.88,"DO3","R10_T1_P123_08_09_2017",-0.002547,-0.7864,-0.01581,-0.9193,-0.01336,-0.9416,-0.01552,-0.9731,NA,-0.0148966666666667,-0.0123496666666667,0.390779486843501
"104","Sagavanirktok","WO3","wild","T1","8","8","10","2","4",200,0.188,NA,0.188,2,NA,131,9.25,"DO1","R10_T2_P456_08_09_2017",-0.002884,-0.8606,-0.008442,-0.9515,-0.008575,-0.9617,-0.008507,-0.9772,NA,-0.008508,-0.005624,0.358641283404255
"105","Kuparuk","WK3","wild","T1","8","8","10","2","5",204,0.34,NA,0.34,2,NA,131,7.97,"DO2","R10_T2_P456_08_09_2017",-0.003666,-0.9107,-0.01488,-0.9892,-0.01238,-0.9908,-0.01154,-0.9925,NA,-0.0129333333333333,-0.00926733333333333,0.33306796
"106","Sagavanirktok","WO2","wild","T1","8","8","10","2","6",203.6,0.23,NA,0.23,2,NA,131,9.07,"DO3","R10_T2_P456_08_09_2017",-0.006874,-0.7966,-0.01001,-0.9711,-0.007456,-0.9365,-0.007028,-0.9173,NA,-0.00816466666666667,-0.00129066666666667,0.0684737947826087
"107","Sagavanirktok","WO3","wild","T3","16","16","10","3","7",204,0.368,NA,0.368,1,NA,131,7.98,"DO1","R10_T3_P789_08_09_2017",-0.002848,-0.8978,-0.01692,-0.9909,-0.01586,-0.991,-0.01369,-0.9936,NA,-0.01549,-0.012642,0.419725393043478
"108","Kuparuk","WK5","wild","T3","16","16","10","3","8",204.2,0.511,NA,0.511,1,NA,131,8.53,"DO2","R10_T3_P789_08_09_2017",-0.002008,-0.8974,-0.01672,-0.9792,-0.01385,-0.9637,-0.008162,-0.9547,NA,-0.0129106666666667,-0.0109026666666667,0.260753808688845
"109","Kuparuk","WK4","wild","T3","16","16","10","3","9",202.8,0.354,NA,0.354,1,NA,131,8.07,"DO3","R10_T3_P789_08_09_2017",-0.004043,-0.9792,-0.02292,-0.9912,-0.01835,-0.9895,-0.01874,-0.9946,NA,-0.0200033333333333,-0.0159603333333333,0.547645024067797
"110","Kuparuk","WK4","wild","T1","8","8","10","4","10",202.4,0.155,NA,0.155,2,NA,131,9.73,"DO1","R10_T4_P101112_08_09_2017",-0.005123,-0.9283,-0.01195,-0.9828,-0.01018,-0.9547,-0.01219,-0.9735,NA,-0.01144,-0.006317,0.494547741290323
"111","Kuparuk","WK2","wild","T1","8","8","10","4","11",203.4,0.2,NA,0.2,2,NA,131,10,"DO2","R10_T4_P101112_08_09_2017",-0.005188,-0.8375,-0.01226,-0.9672,-0.01053,-0.9556,-0.01207,-0.9736,NA,-0.01162,-0.006432,0.39209472
"112","Sagavanirktok","WO4","wild","T1","8","8","10","4","12",204.2,0.206,NA,0.206,2,NA,131,10.2,"DO3","R10_T4_P101112_08_09_2017",-0.009748,-0.9772,-0.01688,-0.994,-0.01233,-0.9926,-0.015,-0.9909,NA,-0.0147366666666667,-0.00498866666666667,0.296405262524272
"113","Sagavanirktok","WO1","wild","T2","12","12","11","1","1",201.8,0.231,NA,0.231,1,NA,9.34,9.14,"DO1","R11_T1_P123_08_10_2017",-0.001202,-0.5147,-0.01115,-0.9844,-0.01119,-0.9903,-0.01421,-0.9832,NA,-0.0121833333333333,-0.0109813333333333,0.574934124329004
"114","Sagavanirktok","WO3","wild","T2","12","12","11","1","2",201.6,0.273,NA,0.273,1,NA,9.34,9.38,"DO2","R11_T1_P123_08_10_2017",-0.001435,-0.5876,-0.01967,-0.9897,-0.01436,-0.9932,-0.01395,-0.9781,NA,-0.0159933333333333,-0.0145583333333333,0.644172653846154
"115","Sagavanirktok","WO2","wild","T2","12","12","11","1","3",199.2,0.388,NA,0.388,1,NA,9.34,9.55,"DO3","R11_T1_P123_08_10_2017",-0.002542,-0.8511,-0.03077,-0.988,-0.02005,-0.9924,-0.01795,-0.9709,NA,-0.0229233333333333,-0.0203813333333333,0.626606233402062
"116","Sagavanirktok","WO4","wild","T2","12","12","11","2","4",200,0.243,NA,0.243,1,NA,9.34,9.12,"DO1","R11_T2_P456_08_10_2017",-0.001749,-0.7289,-0.01362,-0.9863,-0.01464,-0.9801,-0.01224,-0.981,NA,-0.0135,-0.011751,0.579591236296296
"117","Kuparuk","WK2","wild","T2","12","12","11","2","5",204,0.305,NA,0.305,1,NA,9.34,8.3,"DO2","R11_T2_P456_08_10_2017",-0.001493,-0.74,-0.01422,-0.9814,-0.0132,-0.9737,-0.01091,-0.9744,NA,-0.0127766666666667,-0.0112836666666667,0.452149471803279
"118","Sagavanirktok","WO3","wild","T2","12","12","11","2","6",203.6,0.281,NA,0.281,1,NA,9.34,9.39,"DO3","R11_T2_P456_08_10_2017",-0.001663,-0.6526,-0.01346,-0.9753,-0.01509,-0.9664,-0.0113,-0.9615,NA,-0.0132833333333333,-0.0116203333333333,0.504477128754448
"119","Kuparuk","WK4","wild","T2","12","12","11","3","7",204,0.401,NA,0.401,1,NA,17,9.34,"DO1","R11_T3_P789_08_10_2017",-0.0031,-0.643,-0.01816,-0.988,-0.0163,-0.9928,-0.01653,-0.9761,NA,-0.0169966666666667,-0.0138966666666667,0.423343756109726
"120","Sagavanirktok","WO5","wild","T2","12","12","11","3","8",204.2,0.4,NA,0.4,1,NA,17,9.98,"DO2","R11_T3_P789_08_10_2017",-0.004749,-0.8264,-0.01905,-0.9897,-0.01819,-0.9948,-0.01913,-0.9845,NA,-0.01879,-0.014041,0.42923337
"121","Sagavanirktok","WO4","wild","T2","12","12","11","3","9",202.8,0.374,NA,0.374,1,NA,17,9.32,"DO3","R11_T3_P789_08_10_2017",-0.004838,-0.8686,-0.01841,-0.992,-0.01784,-0.9956,-0.0175,-0.9818,NA,-0.0179166666666667,-0.0130786666666667,0.424726552727273
"122","Kuparuk","K2","reared","T1","8","8","11","4","10",202.4,0.255,NA,0.255,4,NA,17,9.3,"DO1","R11_T4_P101112_08_10_2017",-0.00485,-0.8179,-0.02158,-0.991,-0.01427,-0.9957,-0.01441,-0.9921,NA,-0.0167533333333333,-0.0119033333333333,0.566164545098039
"123","Sagavanirktok","O1","reared","T1","8","8","11","4","11",203.4,0.156,NA,0.156,4,NA,17,9.46,"DO2","R11_T4_P101112_08_10_2017",-0.006236,-0.8511,-0.01303,-0.982,-0.008678,-0.9471,-0.01079,-0.9199,NA,-0.0108326666666667,-0.00459666666666667,0.359324969230769
"124","Kuparuk","K1","reared","T1","8","8","11","4","12",204.2,0.246,NA,0.246,4,NA,17,9.77,"DO3","R11_T4_P101112_08_10_2017",-0.005639,-0.9012,-0.01666,-0.989,-0.01232,-0.987,-0.01506,-0.983,NA,-0.01468,-0.009041,0.449743442439024
"125","Oksrukuyik","WOZ2","wild","T3","16","16","12","1","1",201.8,0.821,NA,0.821,1,NA,5,9.06,"DO1","R12_T1_P123_08_10_2017",-0.00428,-0.9456,-0.01796,-0.9521,-0.02341,-0.9844,-0.02283,-0.9894,NA,-0.0214,-0.01712,0.251456307917174
"126","Oksrukuyik","WOZ4","wild","T3","16","16","12","1","2",201.6,0.443,NA,0.443,1,NA,5,8.9,"DO2","R12_T1_P123_08_10_2017",-0.005266,-0.9614,-0.01726,-0.9253,-0.02393,-0.9813,-0.01921,-0.9793,NA,-0.0201333333333333,-0.0148673333333333,0.405056637200903
"127","Oksrukuyik","WOZ3","wild","T3","16","16","12","1","3",199.2,0.453,NA,0.453,1,NA,5,8.83,"DO3","R12_T1_P123_08_10_2017",-0.004337,-0.8997,-0.03888,-0.9798,-0.03442,-0.995,-0.02728,-0.9975,NA,-0.0335266666666667,-0.0291896666666667,0.768391878278146
