"","TreatmentTank","Location","Family","ID","Date","days.post.fert","Initial.num.indiv.calc","num.fry","num.hatchlings","perc.hatched","perc.hatchedHG","num.remaining.calc"
"80","T2","Kup","K16","K16_12",2017-06-14,1,350,0,0,0,0,345
"81","T3","Kup","K01","K01_16",2017-06-14,1,350,0,0,0,0,349
"82","T3","Kup","K02","K02_16",2017-06-14,1,350,0,0,0,0,350
"83","T3","Kup","K03","K03_16",2017-06-14,1,350,0,0,0,0,350
"84","T3","Kup","K04","K04_16",2017-06-14,1,350,0,0,0,0,350
"85","T3","Kup","K05","K05_16",2017-06-14,1,350,0,0,0,0,341
"86","T3","Kup","K06","K06_16",2017-06-14,1,350,0,0,0,0,347
"87","T3","Kup","K07","K07_16",2017-06-14,1,350,0,0,0,0,346
"88","T3","Kup","K08","K08_16",2017-06-14,1,350,0,0,0,0,348
"89","T3","Kup","K09","K09_16",2017-06-14,1,350,0,0,0,0,339
"90","T3","Kup","K10","K10_16",2017-06-14,1,350,0,0,0,0,343
"91","T3","Kup","K11","K11_16",2017-06-14,1,350,0,0,0,0,343
"92","T3","Kup","K12","K12_16",2017-06-14,1,350,0,0,0,0,346
"93","T3","Kup","K13","K13_16",2017-06-14,1,350,0,0,0,0,347
"94","T3","Kup","K14","K14_16",2017-06-14,1,350,0,0,0,0,347
"95","T3","Kup","K15","K15_16",2017-06-14,1,350,0,0,0,0,350
"96","T3","Kup","K16","K16_16",2017-06-14,1,350,0,0,0,0,346
"97","T1","Kup","K01","K01_8",2017-06-15,2,348,0,0,0,0,348
"98","T1","Kup","K02","K02_8",2017-06-15,2,347,0,0,0,0,346
"99","T1","Kup","K03","K03_8",2017-06-15,2,349,0,0,0,0,349
"100","T1","Kup","K04","K04_8",2017-06-15,2,350,0,0,0,0,349
"101","T1","Kup","K05","K05_8",2017-06-15,2,347,0,0,0,0,346
"102","T1","Kup","K06","K06_8",2017-06-15,2,350,0,0,0,0,349
"103","T1","Kup","K07","K07_8",2017-06-15,2,350,0,0,0,0,350
"104","T1","Kup","K08","K08_8",2017-06-15,2,350,0,0,0,0,349
"105","T1","Kup","K09","K09_8",2017-06-15,2,350,0,0,0,0,350
"106","T1","Kup","K10","K10_8",2017-06-15,2,350,0,0,0,0,349
"107","T1","Kup","K11","K11_8",2017-06-15,2,349,0,0,0,0,348
"108","T1","Kup","K12","K12_8",2017-06-15,2,350,0,0,0,0,349
"109","T1","Kup","K13","K13_8",2017-06-15,2,350,0,0,0,0,350
"110","T1","Kup","K14","K14_8",2017-06-15,2,349,0,0,0,0,349
"111","T1","Kup","K15","K15_8",2017-06-15,2,350,0,0,0,0,350
"112","T1","Kup","K16","K16_8",2017-06-15,2,343,0,0,0,0,343
"113","T2","Kup","K01","K01_12",2017-06-15,2,348,0,0,0,0,347
"114","T2","Kup","K02","K02_12",2017-06-15,2,347,0,0,0,0,347
"115","T2","Kup","K03","K03_12",2017-06-15,2,350,0,0,0,0,350
"116","T2","Kup","K04","K04_12",2017-06-15,2,347,0,0,0,0,347
"117","T2","Kup","K05","K05_12",2017-06-15,2,335,0,0,0,0,334
"118","T2","Kup","K06","K06_12",2017-06-15,2,349,0,0,0,0,314
"119","T2","Kup","K07","K07_12",2017-06-15,2,349,0,0,0,0,348
"120","T2","Kup","K08","K08_12",2017-06-15,2,349,0,0,0,0,349
"121","T2","Kup","K09","K09_12",2017-06-15,2,350,0,0,0,0,349
"122","T2","Kup","K10","K10_12",2017-06-15,2,345,0,0,0,0,342
"123","T2","Kup","K11","K11_12",2017-06-15,2,349,0,0,0,0,349
"124","T2","Kup","K12","K12_12",2017-06-15,2,350,0,0,0,0,350
"125","T2","Kup","K13","K13_12",2017-06-15,2,350,0,0,0,0,349
"126","T2","Kup","K14","K14_12",2017-06-15,2,350,0,0,0,0,349
"127","T2","Kup","K15","K15_12",2017-06-15,2,349,0,0,0,0,348
"128","T2","Kup","K16","K16_12",2017-06-15,2,345,0,0,0,0,341
"129","T3","Kup","K01","K01_16",2017-06-15,2,349,0,0,0,0,341
"130","T3","Kup","K02","K02_16",2017-06-15,2,350,0,0,0,0,315
"131","T3","Kup","K03","K03_16",2017-06-15,2,350,0,0,0,0,348
"132","T3","Kup","K04","K04_16",2017-06-15,2,350,0,0,0,0,349
"133","T3","Kup","K05","K05_16",2017-06-15,2,341,0,0,0,0,336
"134","T3","Kup","K06","K06_16",2017-06-15,2,347,0,0,0,0,157
"135","T3","Kup","K07","K07_16",2017-06-15,2,346,0,0,0,0,342
"136","T3","Kup","K08","K08_16",2017-06-15,2,348,0,0,0,0,342
"137","T3","Kup","K09","K09_16",2017-06-15,2,339,0,0,0,0,322
"138","T3","Kup","K10","K10_16",2017-06-15,2,343,0,0,0,0,323
"139","T3","Kup","K11","K11_16",2017-06-15,2,343,0,0,0,0,337
"140","T3","Kup","K12","K12_16",2017-06-15,2,346,0,0,0,0,329
"141","T3","Kup","K13","K13_16",2017-06-15,2,347,0,0,0,0,326
"142","T3","Kup","K14","K14_16",2017-06-15,2,347,0,0,0,0,346
"143","T3","Kup","K15","K15_16",2017-06-15,2,350,0,0,0,0,347
"144","T3","Kup","K16","K16_16",2017-06-15,2,346,0,0,0,0,344
"145","T1","Kup","K01","K01_8",2017-06-16,3,348,0,0,0,0,348
"146","T1","Kup","K02","K02_8",2017-06-16,3,346,0,0,0,0,344
"147","T1","Kup","K03","K03_8",2017-06-16,3,349,0,0,0,0,349
"148","T1","Kup","K04","K04_8",2017-06-16,3,349,0,0,0,0,349
"149","T1","Kup","K05","K05_8",2017-06-16,3,346,0,0,0,0,345
"150","T1","Kup","K06","K06_8",2017-06-16,3,349,0,0,0,0,343
"151","T1","Kup","K07","K07_8",2017-06-16,3,350,0,0,0,0,350
"152","T1","Kup","K08","K08_8",2017-06-16,3,349,0,0,0,0,349
"153","T1","Kup","K09","K09_8",2017-06-16,3,350,0,0,0,0,349
"154","T1","Kup","K10","K10_8",2017-06-16,3,349,0,0,0,0,349
"155","T1","Kup","K11","K11_8",2017-06-16,3,348,0,0,0,0,348
"156","T1","Kup","K12","K12_8",2017-06-16,3,349,0,0,0,0,349
"157","T1","Kup","K13","K13_8",2017-06-16,3,350,0,0,0,0,350
"158","T1","Kup","K14","K14_8",2017-06-16,3,349,0,0,0,0,349
"159","T1","Kup","K15","K15_8",2017-06-16,3,350,0,0,0,0,350
"160","T1","Kup","K16","K16_8",2017-06-16,3,343,0,0,0,0,342
"161","T2","Kup","K01","K01_12",2017-06-16,3,347,0,0,0,0,347
"162","T2","Kup","K02","K02_12",2017-06-16,3,347,0,0,0,0,347
"163","T2","Kup","K03","K03_12",2017-06-16,3,350,0,0,0,0,347
"164","T2","Kup","K04","K04_12",2017-06-16,3,347,0,0,0,0,346
"165","T2","Kup","K05","K05_12",2017-06-16,3,334,0,0,0,0,333
"166","T2","Kup","K06","K06_12",2017-06-16,3,314,0,0,0,0,159
"167","T2","Kup","K07","K07_12",2017-06-16,3,348,0,0,0,0,347
"168","T2","Kup","K08","K08_12",2017-06-16,3,349,0,0,0,0,346
"169","T2","Kup","K09","K09_12",2017-06-16,3,349,0,0,0,0,349
"170","T2","Kup","K10","K10_12",2017-06-16,3,342,0,0,0,0,340
"171","T2","Kup","K11","K11_12",2017-06-16,3,349,0,0,0,0,349
"172","T2","Kup","K12","K12_12",2017-06-16,3,349,0,0,0,0,349
"173","T2","Kup","K13","K13_12",2017-06-16,3,349,0,0,0,0,340
"174","T2","Kup","K14","K14_12",2017-06-16,3,349,0,0,0,0,348
"175","T2","Kup","K15","K15_12",2017-06-16,3,348,0,0,0,0,346
"176","T2","Kup","K16","K16_12",2017-06-16,3,341,0,0,0,0,341
"177","T3","Kup","K01","K01_16",2017-06-16,3,341,0,0,0,0,298
"178","T3","Kup","K02","K02_16",2017-06-16,3,315,0,0,0,0,295
"179","T3","Kup","K03","K03_16",2017-06-16,3,348,0,0,0,0,341
"180","T3","Kup","K04","K04_16",2017-06-16,3,349,0,0,0,0,348
"181","T3","Kup","K05","K05_16",2017-06-16,3,336,0,0,0,0,335
"182","T3","Kup","K06","K06_16",2017-06-16,3,157,0,0,0,0,107
"183","T3","Kup","K07","K07_16",2017-06-16,3,342,0,0,0,0,340
"184","T3","Kup","K08","K08_16",2017-06-16,3,342,0,0,0,0,334
"185","T3","Kup","K09","K09_16",2017-06-16,3,322,0,0,0,0,314
"186","T3","Kup","K10","K10_16",2017-06-16,3,323,0,0,0,0,179
"187","T3","Kup","K11","K11_16",2017-06-16,3,337,0,0,0,0,334
"188","T3","Kup","K12","K12_16",2017-06-16,3,329,0,0,0,0,306
"189","T3","Kup","K13","K13_16",2017-06-16,3,326,0,0,0,0,275
"190","T3","Kup","K14","K14_16",2017-06-16,3,346,0,0,0,0,343
"191","T3","Kup","K15","K15_16",2017-06-16,3,347,0,0,0,0,339
"192","T3","Kup","K16","K16_16",2017-06-16,3,344,0,0,0,0,343
"193","T1","Kup","K01","K01_8",2017-06-17,4,348,0,0,0,0,346
"194","T1","Kup","K02","K02_8",2017-06-17,4,344,0,0,0,0,343
"195","T1","Kup","K03","K03_8",2017-06-17,4,349,0,0,0,0,347
"196","T1","Kup","K04","K04_8",2017-06-17,4,349,0,0,0,0,349
"197","T1","Kup","K05","K05_8",2017-06-17,4,345,0,0,0,0,345
"198","T1","Kup","K06","K06_8",2017-06-17,4,343,0,0,0,0,229
"199","T1","Kup","K07","K07_8",2017-06-17,4,350,0,0,0,0,349
"200","T1","Kup","K08","K08_8",2017-06-17,4,349,0,0,0,0,349
"201","T1","Kup","K09","K09_8",2017-06-17,4,349,0,0,0,0,349
"202","T1","Kup","K10","K10_8",2017-06-17,4,349,0,0,0,0,345
"203","T1","Kup","K11","K11_8",2017-06-17,4,348,0,0,0,0,346
"204","T1","Kup","K12","K12_8",2017-06-17,4,349,0,0,0,0,349
"205","T1","Kup","K13","K13_8",2017-06-17,4,350,0,0,0,0,347
"206","T1","Kup","K14","K14_8",2017-06-17,4,349,0,0,0,0,349
"207","T1","Kup","K15","K15_8",2017-06-17,4,350,0,0,0,0,350
"208","T1","Kup","K16","K16_8",2017-06-17,4,342,0,0,0,0,342
"209","T2","Kup","K01","K01_12",2017-06-17,4,347,0,0,0,0,346
"210","T2","Kup","K02","K02_12",2017-06-17,4,347,0,0,0,0,344
"211","T2","Kup","K03","K03_12",2017-06-17,4,347,0,0,0,0,346
"212","T2","Kup","K04","K04_12",2017-06-17,4,346,0,0,0,0,344
"213","T2","Kup","K05","K05_12",2017-06-17,4,333,0,0,0,0,323
"214","T2","Kup","K06","K06_12",2017-06-17,4,159,0,0,0,0,139
"215","T2","Kup","K07","K07_12",2017-06-17,4,347,0,0,0,0,346
"216","T2","Kup","K08","K08_12",2017-06-17,4,346,0,0,0,0,344
"217","T2","Kup","K09","K09_12",2017-06-17,4,349,0,0,0,0,348
"218","T2","Kup","K10","K10_12",2017-06-17,4,340,0,0,0,0,339
"219","T2","Kup","K11","K11_12",2017-06-17,4,349,0,0,0,0,347
"220","T2","Kup","K12","K12_12",2017-06-17,4,349,0,0,0,0,348
"221","T2","Kup","K13","K13_12",2017-06-17,4,340,0,0,0,0,335
"222","T2","Kup","K14","K14_12",2017-06-17,4,348,0,0,0,0,348
"223","T2","Kup","K15","K15_12",2017-06-17,4,346,0,0,0,0,345
"224","T2","Kup","K16","K16_12",2017-06-17,4,341,0,0,0,0,341
"225","T3","Kup","K01","K01_16",2017-06-17,4,298,0,0,0,0,246
"226","T3","Kup","K02","K02_16",2017-06-17,4,295,0,0,0,0,282
"227","T3","Kup","K03","K03_16",2017-06-17,4,341,0,0,0,0,338
"228","T3","Kup","K04","K04_16",2017-06-17,4,348,0,0,0,0,342
"229","T3","Kup","K05","K05_16",2017-06-17,4,335,0,0,0,0,332
"230","T3","Kup","K06","K06_16",2017-06-17,4,107,0,0,0,0,73
"231","T3","Kup","K07","K07_16",2017-06-17,4,340,0,0,0,0,334
"232","T3","Kup","K08","K08_16",2017-06-17,4,334,0,0,0,0,330
"233","T3","Kup","K09","K09_16",2017-06-17,4,314,0,0,0,0,312
"234","T3","Kup","K10","K10_16",2017-06-17,4,179,0,0,0,0,104
"235","T3","Kup","K11","K11_16",2017-06-17,4,334,0,0,0,0,332
"236","T3","Kup","K12","K12_16",2017-06-17,4,306,0,0,0,0,304
"237","T3","Kup","K13","K13_16",2017-06-17,4,275,0,0,0,0,266
"238","T3","Kup","K14","K14_16",2017-06-17,4,343,0,0,0,0,335
"239","T3","Kup","K15","K15_16",2017-06-17,4,339,0,0,0,0,325
"240","T3","Kup","K16","K16_16",2017-06-17,4,343,0,0,0,0,326
"241","T1","Kup","K01","K01_8",2017-06-18,5,346,0,0,0,0,340
"242","T1","Kup","K02","K02_8",2017-06-18,5,343,0,0,0,0,337
"243","T1","Kup","K03","K03_8",2017-06-18,5,347,0,0,0,0,340
