"","tank","temp_C","minimum","maximum","n","v","se","na.rm"
"1","T1",7.06765265175336,4.25,10.75,33393,0.240958495391342,0.00268623128393776,1
"2","T2",11.6136129227969,10.125,14.75,32965,0.104481137025085,0.00178029677476864,1
"3","T3",15.5503023049891,12.625,21.125,36139,0.334481116063922,0.00304226987002939,1
