"","River","wet.wt.egg.m","wet.wt.egg.sd","wet.wt.egg.n","wet.wt.egg.se"
"1","Kup",0.00975,0.00118321595661992,16,0.000295803989154981
"2","Sag",0.0088,0.000836660026534075,5,0.000374165738677394
