"","Location","Family","reared_wild","TreatmentTank","CG_temp","Resp_temp","Run","Tank","Probe","DO_channel","back_slope","slope1","slope2","slope3","Vr_ml","Va_ml","length_mm","Ma_g","num_per_resp","Comments","mean_slope","DO_Slope_mg_L_min","VO2"
"108","Kuparuk","WK1","wild","T3",16,16,9,1,2,2,-0.001984,-0.02028,-0.006954,-0.006709,201.6,0.534,NA,0.534,1,NA,-0.0113143333333333,-0.00933033333333333,0.210787955280899
"109","Oksrukuyik","WOZ2","wild","T1",8,8,12,4,12,3,-0.004414,-0.01614,-0.01461,-0.01268,204.2,0.328,NA,0.328,1,NA,-0.0144766666666667,-0.0100626666666667,0.375273654634146
"110","Oksrukuyik","WOZ4","wild","T1",8,8,12,4,10,1,-0.001072,-0.01535,-0.01347,-0.0136,202.4,0.338,NA,0.338,1,NA,-0.01414,-0.013068,0.468736014674556
"111","Oksrukuyik","WOZ1","wild","T1",8,8,13,4,10,1,-0.006113,-0.01666,-0.01482,-0.01595,202.4,0.367,NA,0.367,1,NA,-0.01581,-0.009697,0.3202911173297
"112","Oksrukuyik","WOZ3","wild","T1",8,8,13,4,12,3,-0.005915,-0.03578,-0.03352,-0.01485,204.2,0.4,NA,0.4,1,NA,-0.02805,-0.022135,0.67666695
"113","Oksrukuyik","WOZ5","wild","T1",8,8,13,4,11,2,-0.009542,-0.01643,-0.01658,-0.01594,203.4,0.414,NA,0.414,1,NA,-0.0163166666666667,-0.00677466666666666,0.199298911304348
"114","Oksrukuyik","WOZ3","wild","T1",8,8,12,4,11,2,-0.007477,-0.02605,-0.01275,-0.01471,203.4,0.428,NA,0.428,1,NA,-0.0178366666666667,-0.0103596666666667,0.294774148971963
"115","Oksrukuyik","WOZ3","wild","T2",12,12,13,3,7,1,-0.003487,-0.0202,-0.01644,-0.02316,204,0.467,NA,0.467,1,NA,-0.0199333333333333,-0.0164463333333333,0.430069151477516
"116","Oksrukuyik","WOZ4","wild","T2",12,12,12,2,5,2,-0.004316,-0.02213,-0.01973,-0.01543,204,0.508,NA,0.508,1,NA,-0.0190966666666667,-0.0147806666666667,0.355245758425197
"117","Oksrukuyik","WOZ4","wild","T2",12,12,13,3,8,2,-0.00323,-0.02572,-0.02365,-0.01733,204.2,0.521,NA,0.521,1,NA,-0.0222333333333333,-0.0190033333333333,0.445748168522073
