"","location","alt.dpf","Treatment","family","adj_Length","minimum","maximum","n","v","se","na.rm","days.post.fert"
"70","Kup",30,"T3","K5",18.94018,17.6442,20.46828,6,1.45825319472,0.49299310250753,1,30
"71","Kup",30,"T3","K7",16.085664,14.0238,18.63204,10,2.51475607936,0.501473436919644,1,30
"72","Kup",30,"T3","K8",19.980072,17.90208,22.61532,5,4.67320693392,0.966768528027262,1,30
"73","Kup",35,"T1","K1",15.5317,14.837,16.156,10,0.196482677777778,0.14017227892054,1,35
"74","Kup",35,"T1","K10",12.9482,11.759,14.389,10,0.578409733333333,0.240501503806802,1,35
"75","Kup",35,"T1","K11",13.1319,11.705,13.884,10,0.383761877777778,0.195898411881714,1,35
"76","Kup",35,"T1","K12",12.4590666666667,11.298,13.9944,9,1.04682424,0.341048096966461,1,35
"77","Kup",35,"T1","K13",13.7011,13.17,14.181,10,0.0926618777777777,0.0962610397709155,1,35
"78","Kup",35,"T1","K14",14.2648,13.807,14.889,10,0.118363733333333,0.108795097928782,1,35
"79","Kup",35,"T1","K15",14.0103,12.309,14.705,10,0.481269566666667,0.219378569296699,1,35
"80","Kup",35,"T1","K16",13.632,13.34,14.148,7,0.0652146666666667,0.096521401525159,1,35
"81","Kup",35,"T1","K2",14.5736,13.279,15.307,10,0.376159822222222,0.193948400927211,1,35
"82","Kup",35,"T1","K3",14.1518,13.894,14.422,10,0.0293364000000001,0.0541630870612081,1,35
"83","Kup",35,"T1","K4",13.7091,13.024,14.201,10,0.128587211111111,0.113396301135051,1,35
"84","Kup",35,"T1","K5",13.625,13.157,14.003,10,0.0886266666666666,0.0941417371130715,1,35
"85","Kup",35,"T1","K6",13.08552,12.8184,13.5576,5,0.0927299520000001,0.136183664218584,1,35
"86","Kup",35,"T1","K7",13.7782,13.238,14.184,10,0.0702937333333333,0.0838413581314933,1,35
"87","Kup",35,"T1","K8",14.6668,13.962,15.483,5,0.4489727,0.299657371008958,1,35
"88","Kup",35,"T1","K9",13.0049,11.762,14.967,10,0.883055877777778,0.297162561198038,1,35
"89","Kup",35,"T2","K10",16.7483418,13.7818979,19.5390465,5,4.34157873768269,0.931834613832593,1,35
"90","Kup",35,"T2","K11",18.5182,16.449,20.317,5,1.9872692,0.630439402321904,1,35
"91","Kup",35,"T2","K12",18.212,16.798,19.328,5,0.927205500000001,0.430628726398971,1,35
"92","Kup",35,"T2","K13",19.0386,17.308,21.252,5,2.9845958,0.772605436170365,1,35
"93","Kup",35,"T2","K14",18.902,17.806,20.259,5,0.867529,0.416540274163255,1,35
"94","Kup",35,"T2","K15",18.5448,16.301,20.512,5,2.9638907,0.76992086606352,1,35
"95","Kup",35,"T2","K16",20.566,19.211,22.25,5,1.6960065,0.582409907195954,1,35
"96","Kup",35,"T2","K4",18.27672,16.6068,19.4796,5,1.087378992,0.46634300509389,1,35
"97","Kup",35,"T2","K6",18.0873,15.9264,21.9828,4,7.45613988,1.36529666007062,1,35
"98","Kup",35,"T2","K7",19.623,18.83,21.815,5,1.550093,0.556793139325549,1,35
"99","Kup",35,"T2","K8",19.7556,15.86,23.76,10,6.16209493333333,0.784990123080115,1,35
"100","Kup",35,"T3","K16",19.1366,15.498,23.6124,6,9.762608688,1.27557886780865,1,35
"101","Kup",35,"T3","K2",23.7552,23.7552,23.7552,1,NA,NA,1,35
"102","Kup",35,"T3","K5",24.166632,22.743,26.80104,5,2.53024893072,0.711371763667915,1,35
"103","Kup",35,"T3","K7",16.87392,14.532,21.2688,5,7.480397232,1.22314326487129,1,35
"104","Kup",40,"T1","K1",16.1389,15.362,17.268,10,0.364355433333333,0.190880966398783,1,40
"105","Kup",40,"T1","K10",14.5732,13.293,15.37,10,0.602774622222223,0.245514688404222,1,40
"106","Kup",40,"T1","K11",15.6472,13.19,16.697,10,1.23111773333333,0.35087287346464,1,40
"107","Kup",40,"T1","K12",14.7094,12.556,16.354,10,1.0344116,0.321622698203967,1,40
"108","Kup",40,"T1","K13",15.2778,13.791,16.651,10,0.634946844444444,0.251981516076962,1,40
"109","Kup",40,"T1","K14",16.1266,15.39,17.542,10,0.547747155555556,0.234039987086728,1,40
"110","Kup",40,"T1","K15",15.4618,13.91,16.484,10,0.807571733333334,0.284178066242512,1,40
"111","Kup",40,"T1","K16",15.999,14.669,18.069,10,1.00980822222222,0.317774797965827,1,40
"112","Kup",40,"T1","K2",15.6544,13.957,16.947,10,1.00407382222222,0.316871239184345,1,40
"113","Kup",40,"T1","K3",15.9665,14.975,17.189,10,0.478674944444445,0.218786412842399,1,40
"114","Kup",40,"T1","K4",15.291,14.308,16.929,10,0.571838,0.2391313446623,1,40
"115","Kup",40,"T1","K5",15.1303,14.236,16.069,10,0.391337344444444,0.197822482151156,1,40
"116","Kup",40,"T1","K6",13.892256,12.71172,14.63784,5,0.65013052608,0.36059132715028,1,40
"117","Kup",40,"T1","K7",15.1502,14.674,16.671,10,0.367407733333333,0.191678828599648,1,40
"118","Kup",40,"T1","K8",16.0476,15.026,17.269,10,0.488964933333333,0.2211255148854,1,40
"119","Kup",40,"T1","K9",13.8967,12.348,15.916,10,1.57574045555556,0.396955974329088,1,40
"120","Kup",40,"T2","K1",22.7146,20.745,25.243,5,3.3240868,0.815363330055994,1,40
"121","Kup",40,"T2","K10",20.388312,18.17928,22.3944,5,3.24618844032,0.80575287034177,1,40
"122","Kup",40,"T2","K11",21.7314,17.145,23.747,5,7.7287313,1.24328044302161,1,40
"123","Kup",40,"T2","K12",20.775888,17.44092,22.60692,5,4.15638456912,0.911743886090826,1,40
"124","Kup",40,"T2","K13",23.9298,23.191,25.292,5,0.836715700000002,0.409075958716716,1,40
"125","Kup",40,"T2","K14",22.1844,17.603,25.557,5,14.0575078,1.67675327940636,1,40
"126","Kup",40,"T2","K15",20.2428,17.429,22.713,5,3.6137142,0.850142835057733,1,40
"127","Kup",40,"T2","K16",22.8658,19.5,25.89,5,5.8407592,1.08081073273724,1,40
"128","Kup",40,"T2","K2",22.7178333333333,18.39,26.616,6,7.52972336666667,1.12024724701489,1,40
"129","Kup",40,"T2","K3",22.8174,20.556,25.52,5,4.1302628,0.908874336748486,1,40
"130","Kup",40,"T2","K4",20.8378,18.158,22.949,5,4.9240527,0.992376208904667,1,40
"131","Kup",40,"T2","K5",21.5534,16.323,26.27,5,18.3396073,1.91518183470917,1,40
"132","Kup",40,"T2","K6",22.54098,18.18516,26.8968,2,37.9463357448,4.35582,1,40
"133","Kup",40,"T2","K7",24.3212,22.081,25.535,5,2.5850812,0.719038413438392,1,40
"134","Kup",40,"T2","K9",20.3288,18.375,22.253,5,2.0890482,0.646381961381968,1,40
"135","Kup",40,"T3","K16",19.554696,18.29772,20.7774,5,0.919284468479998,0.428785370198191,1,40
"136","Kup",40,"T3","K2",27.54108,27.54108,27.54108,1,NA,NA,1,40
"137","Kup",40,"T3","K4",21.74277,19.2612,23.04708,4,2.9889815172,0.864433559795084,1,40
"138","Kup",40,"T3","K5",28.108752,25.79892,30.40884,5,3.89074945392,0.882128046705239,1,40
"139","Kup",40,"T3","K7",20.66232,16.78824,24.5364,2,30.0169916928,3.87408,1,40
"140","Kup",40,"T3","K8",31.1892,31.1892,31.1892,1,NA,NA,1,40
"141","Sag",24,"T2","O1",14.964096,14.40768,15.393,5,0.20270921328,0.201350050052142,1,24
"142","Sag",24,"T2","O2",14.509488,12.6168,15.40728,5,1.19605917312,0.489092869119966,1,24
"143","Sag",24,"T2","O4",14.29512,13.1292,15.1284,5,1.110522672,0.471279677474002,1,24
"144","Sag",24,"T2","O5",16.113216,15.65088,17.03016,5,0.314584915679999,0.250832579893442,1,24
"145","Sag",24,"T2","O6",15.641808,15.08892,16.11708,5,0.19200942432,0.1959639886918,1,24
"146","Sag",24,"T3","O1",16.137912,14.82768,18.62028,5,2.36533504032,0.687798668262741,1,24
"147","Sag",24,"T3","O2",13.67352,12.41184,14.97552,7,0.9250942848,0.363533115960568,1,24
"148","Sag",24,"T3","O6",16.5354,15.3216,17.37456,5,0.661415327999999,0.363707390081642,1,24
"149","Sag",25,"T1","O1",11.1954,10.993,11.364,5,0.0252118000000001,0.0710095768189053,1,25
"150","Sag",25,"T1","O2",10.9764,10.591,11.471,5,0.1749928,0.187079020737228,1,25
"151","Sag",25,"T1","O4",10.2305,9.76,11.351,4,0.562853666666667,0.375117870364325,1,25
"152","Sag",30,"T1","O2",13.4277,12.782,13.982,10,0.190018011111111,0.137847020682752,1,30
"153","Sag",30,"T1","O4",13.23684,12.8805,13.8521,10,0.0926821004444444,0.0962715432744507,1,30
"154","Sag",30,"T1","O5",11.764368,11.5836,11.93976,5,0.0183355099199999,0.0605566014898457,1,30
"155","Sag",30,"T1","O6",13.9937,13.374,14.801,10,0.1966449,0.140230132282616,1,30
"156","Sag",30,"T2","O1",17.53,16.754,18.896,9,0.5578305,0.248960170843986,1,30
"157","Sag",30,"T2","O2",16.8476,14.898,18.198,10,1.00755982222222,0.31742082827411,1,30
"158","Sag",30,"T2","O4",16.836792,14.1708,19.26876,5,4.13017893792,0.908865109674698,1,30
"159","Sag",30,"T2","O5",19.8933,17.57952,21.10164,6,1.76824679472,0.542869965203455,1,30
"160","Sag",30,"T3","O1",18.527712,17.87184,19.53336,5,0.59464101312,0.344859685414227,1,30
"161","Sag",30,"T3","O2",17.006808,14.28504,19.30068,5,3.29572685232,0.811877681959542,1,30
"162","Sag",30,"T3","O6",18.34728,14.49504,20.5548,5,6.57242586,1.14650999646754,1,30
"163","Sag",35,"T1","O1",14.0726,13.7,14.799,10,0.120764933333333,0.109893099571053,1,35
"164","Sag",35,"T1","O2",13.5995,12.735,14.396,10,0.195957833333334,0.139984939666142,1,35
"165","Sag",35,"T1","O4",14.2477476923077,12.369,16.9218,26,1.73562476605046,0.258369500317372,1,35
"166","Sag",35,"T1","O6",13.8706363636364,13.087,14.515,11,0.212590054545455,0.139019310151652,1,35
"167","Sag",35,"T2","O1",17.3004,16.269,19.681,5,1.9668558,0.627193080318972,1,35
"168","Sag",35,"T2","O2",19.3046,16.177,21.766,5,5.8110703,1.07806032298754,1,35
"169","Sag",35,"T2","O4",20.6068,17.529,23.136,5,5.6726512,1.06514329552413,1,35
"170","Sag",35,"T2","O5",22.1924666666667,19.2024,25.198,6,4.18863311466667,0.835527090590791,1,35
"171","Sag",35,"T2","O6",20.5437,16.905,22.572,10,3.7264889,0.610449744041227,1,35
"172","Sag",35,"T3","O1",21.423864,18.25236,24.8472,5,8.43398197488,1.29876725974133,1,35
"173","Sag",35,"T3","O2",18.4933333333333,14.992,22.772,6,8.63739826666666,1.19981931047045,1,35
