length,yolk_vol,animal,dam,sire,treatment,population,z_length,z_yolk_vol
12.244,0.597508859,T1_K016_9,K016,k018,T1,Kup,0.304804805,-0.730218292
11.767,1.057205923,T1_K017_1,K017,k018,T1,Kup,-0.411411411,-0.143869996
11.753,0.615351527,T1_K017_10,K017,k018,T1,Kup,-0.432432432,-0.707459787
11.379,1.128973679,T1_K017_2,K017,k018,T1,Kup,-0.993993994,-0.052329491
11.765,1.121902041,T1_K017_3,K017,k018,T1,Kup,-0.414414414,-0.061349437
11.749,0.971584931,T1_K017_4,K017,k018,T1,Kup,-0.438438438,-0.253080445
11.582,0.460336261,T1_K017_5,K017,k018,T1,Kup,-0.689189189,-0.905183341
11.228,1.271458695,T1_K017_6,K017,k018,T1,Kup,-1.220720721,0.129411601
11.697,0.747101066,T1_K017_7,K017,k018,T1,Kup,-0.516516517,-0.539411906
10.452,0.695098464,T1_K017_8,K017,k018,T1,Kup,-2.385885886,-0.605741755
11.338,0.695023422,T1_K017_9,K017,k018,T1,Kup,-1.055555556,-0.605837472
12.254,1.312916228,T1_K019_1,K019,k021,T1,Kup,0.31981982,0.182291107
11.506,1.213789876,T1_K019_10,K019,k021,T1,Kup,-0.803303303,0.055854434
11.735,0.951424928,T1_K019_2,K019,k021,T1,Kup,-0.459459459,-0.278794735
12.032,1.376824479,T1_K019_3,K019,k021,T1,Kup,-0.013513514,0.263806733
12.222,1.137188344,T1_K019_4,K019,k021,T1,Kup,0.271771772,-0.041851602
11.524,0.931549136,T1_K019_5,K019,k021,T1,Kup,-0.776276276,-0.30414651
11.949,0.987807886,T1_K019_6,K019,k021,T1,Kup,-0.138138138,-0.232387901
11.734,0.925443783,T1_K019_7,K019,k021,T1,Kup,-0.460960961,-0.31193395
12.76,1.062134634,T1_K019_8,K019,k021,T1,Kup,1.07957958,-0.137583375
12.146,0.632220009,T1_K019_9,K019,k021,T1,Kup,0.157657658,-0.685943866
12.239,2.00572271,T1_K020_1,K020,k021,T1,Kup,0.297297297,1.065972844
12.475,1.577920591,T1_K020_10,K020,k021,T1,Kup,0.651651652,0.520306876
12.441,1.514594468,T1_K020_2,K020,k021,T1,Kup,0.600600601,0.43953376
12.891,1.694031524,T1_K020_3,K020,k021,T1,Kup,1.276276276,0.668407556
12.933,2.118885956,T1_K020_4,K020,k021,T1,Kup,1.339339339,1.210313719
12.638,1.361379451,T1_K020_5,K020,k021,T1,Kup,0.896396396,0.244106443
12.698,1.277963752,T1_K020_6,K020,k021,T1,Kup,0.986486486,0.137708867
12.52,0.995713145,T1_K020_7,K020,k021,T1,Kup,0.719219219,-0.222304662
12.207,1.709080252,T1_K020_8,K020,k021,T1,Kup,0.249249249,0.687602362
12.001,1.225389379,T1_K020_9,K020,k021,T1,Kup,-0.06006006,0.070649718
12.358,1.987870712,T1_K022_1,K022,k024,T1,Kup,0.475975976,1.043202439
12.58,2.665716564,T1_K022_2,K022,k024,T1,Kup,0.809309309,1.90780174
12.152,2.633581254,T1_K022_3,K022,k024,T1,Kup,0.166666667,1.866812824
12.838,1.239854883,T1_K022_4,K022,k024,T1,Kup,1.196696697,0.089100616
11.599,1.087663697,T1_K022_5,K022,k024,T1,Kup,-0.663663664,-0.105020795
11.705,2.048466069,T1_K022_6,K022,k024,T1,Kup,-0.504504505,1.120492435
12.157,0.96360166,T1_K022_7,K022,k024,T1,Kup,0.174174174,-0.263263189
12.391,2.202200273,T1_K022_8,K022,k024,T1,Kup,0.525525526,1.316581981
10.831,1.750253816,T1_K022_9,K022,k024,T1,Kup,-1.816816817,0.740119663
12.381,1.198333908,T1_K023_1,K023,k024,T1,Kup,0.510510511,0.036140189
11.884,0.705700608,T1_K023_10,K023,k024,T1,Kup,-0.235735736,-0.592218612
12.412,1.030293237,T1_K023_2,K023,k024,T1,Kup,0.557057057,-0.178197402
12.339,0.559472145,T1_K023_3,K023,k024,T1,Kup,0.447447447,-0.778734509
12.22,1.125744009,T1_K023_4,K023,k024,T1,Kup,0.268768769,-0.056448968
12.508,0.740772747,T1_K023_5,K023,k024,T1,Kup,0.701201201,-0.547483741
12.315,0.599839939,T1_K023_6,K023,k024,T1,Kup,0.411411411,-0.727244976
12.087,0.471624178,T1_K023_7,K023,k024,T1,Kup,0.069069069,-0.890785487
12.084,1.149100229,T1_K023_8,K023,k024,T1,Kup,0.064564565,-0.026657871
12.017,0.851642834,T1_K023_9,K023,k024,T1,Kup,-0.036036036,-0.406067814
13.053,0.844461041,T1_Oks3-001_1,Oks3-001,oks3-008,T1,Sag,1.51951952,-0.415228264
12.366,1.220994452,T1_Oks3-001_10,Oks3-001,oks3-008,T1,Sag,0.487987988,0.065043944
12.589,1.433369918,T1_Oks3-001_2,Oks3-001,oks3-008,T1,Sag,0.822822823,0.335931018
13.061,1.116372161,T1_Oks3-001_3,Oks3-001,oks3-008,T1,Sag,1.531531532,-0.068402856
12.855,1.205347022,T1_Oks3-001_4,Oks3-001,oks3-008,T1,Sag,1.222222222,0.045085487
12.878,1.336887254,T1_Oks3-001_5,Oks3-001,oks3-008,T1,Sag,1.256756757,0.212866395
12.701,0.801658729,T1_Oks3-001_6,Oks3-001,oks3-008,T1,Sag,0.990990991,-0.46982305
12.978,1.261136636,T1_Oks3-001_7,Oks3-001,oks3-008,T1,Sag,1.406906907,0.116245709
13.068,0.580257178,T1_Oks3-001_8,Oks3-001,oks3-008,T1,Sag,1.542042042,-0.752222987
12.75,0.856798452,T1_Oks3-001_9,Oks3-001,oks3-008,T1,Sag,1.064564565,-0.39949177
11.779,1.081858918,T1_Oks3-007_1,Oks3-007,oks3-008,T1,Sag,-0.393393393,-0.112424849
12.051,0.280609123,T1_Oks3-007_10,Oks3-007,oks3-008,T1,Sag,0.015015015,-1.134427139
12.145,0.857856428,T1_Oks3-007_2,Oks3-007,oks3-008,T1,Sag,0.156156156,-0.398142311
12.348,0.568180214,T1_Oks3-007_3,Oks3-007,oks3-008,T1,Sag,0.460960961,-0.767627278
11.611,0.966987927,T1_Oks3-007_4,Oks3-007,oks3-008,T1,Sag,-0.645645646,-0.258943971
12.03,0.637974244,T1_Oks3-007_5,Oks3-007,oks3-008,T1,Sag,-0.016516517,-0.678604281
12.379,0.571877608,T1_Oks3-007_6,Oks3-007,oks3-008,T1,Sag,0.507507508,-0.762911214
12.064,0.613902592,T1_Oks3-007_7,Oks3-007,oks3-008,T1,Sag,0.034534535,-0.709307918
12.575,0.114646045,T1_Oks3-007_8,Oks3-007,oks3-008,T1,Sag,0.801801802,-1.346114739
11.972,0.405818231,T1_Oks3-007_9,Oks3-007,oks3-008,T1,Sag,-0.103603604,-0.974721644
11.584,0.928413314,T1_Oks3-010_1,Oks3-010,oks3-011,T1,Sag,-0.686186186,-0.308146283
11.994,0,T2_K001_1,K001,k003,T2,Kup,-0.070570571,-1.492346939
13.413,0,T2_K001_10,K001,k003,T2,Kup,2.06006006,-1.492346939
11.62,0,T2_K001_2,K001,k003,T2,Kup,-0.632132132,-1.492346939
13.381,0,T2_K001_3,K001,k003,T2,Kup,2.012012012,-1.492346939
13.089,0,T2_K001_4,K001,k003,T2,Kup,1.573573574,-1.492346939
12.788,0,T2_K001_5,K001,k003,T2,Kup,1.121621622,-1.492346939
12.963,0,T2_K001_6,K001,k003,T2,Kup,1.384384384,-1.492346939
13.38,0,T2_K001_7,K001,k003,T2,Kup,2.010510511,-1.492346939
12.418,0,T2_K001_8,K001,k003,T2,Kup,0.566066066,-1.492346939
13.139,0,T2_K001_9,K001,k003,T2,Kup,1.648648649,-1.492346939
11.872,2.247829846,T2_K002_1,K002,k003,T2,Kup,-0.253753754,1.374782967
11.206,1.532742183,T2_K002_10,K002,k003,T2,Kup,-1.253753754,0.462681356
11.14,2.031499248,T2_K002_2,K002,k003,T2,Kup,-1.352852853,1.098851082
11.954,1.617819525,T2_K002_3,K002,k003,T2,Kup,-0.130630631,0.571198374
11.51,1.987822014,T2_K002_4,K002,k003,T2,Kup,-0.797297297,1.043140324
12.286,1.141145497,T2_K002_5,K002,k003,T2,Kup,0.367867868,-0.036804213
11.837,2.032402518,T2_K002_6,K002,k003,T2,Kup,-0.306306306,1.100003212
11.879,1.322356697,T2_K002_7,K002,k003,T2,Kup,-0.243243243,0.194332522
11.647,1.516094156,T2_K002_8,K002,k003,T2,Kup,-0.591591592,0.441446628
11.539,1.434530798,T2_K002_9,K002,k003,T2,Kup,-0.753753754,0.337411732
12.531,2.370914193,T2_K004_1,K004,k006,T2,Kup,0.735735736,1.531778307
12.382,2.018916178,T2_K004_10,K004,k006,T2,Kup,0.512012012,1.082801247
11.938,2.459333518,T2_K004_2,K004,k006,T2,Kup,-0.154654655,1.644558059
12.909,1.546276109,T2_K004_3,K004,k006,T2,Kup,1.303303303,0.479944017
12.378,2.122068873,T2_K004_4,K004,k006,T2,Kup,0.506006006,1.214373563
12.533,1.701879806,T2_K004_5,K004,k006,T2,Kup,0.738738739,0.67841812
11.865,2.653403394,T2_K004_6,K004,k006,T2,Kup,-0.264264264,1.892096166
12.973,0.996236322,T2_K004_7,K004,k006,T2,Kup,1.399399399,-0.221637344
12.367,2.535379545,T2_K004_8,K004,k006,T2,Kup,0.489489489,1.741555542
12.039,1.363221438,T2_K004_9,K004,k006,T2,Kup,-0.003003003,0.246455916
12.011,1.937577497,T2_K005_1,K005,k006,T2,Kup,-0.045045045,0.97905293
12.11,1.067490918,T2_K005_10,K005,k006,T2,Kup,0.103603604,-0.13075138
11.862,1.410532717,T2_K005_2,K005,k006,T2,Kup,-0.268768769,0.306801935
12.075,1.270125373,T2_K005_3,K005,k006,T2,Kup,0.051051051,0.127710935
12.096,1.73644875,T2_K005_4,K005,k006,T2,Kup,0.082582583,0.722511161
12.498,1.071856211,T2_K005_5,K005,k006,T2,Kup,0.686186186,-0.125183404
12.049,1.297841922,T2_K005_6,K005,k006,T2,Kup,0.012012012,0.163063676
11.722,1.371501703,T2_K005_7,K005,k006,T2,Kup,-0.478978979,0.257017478
12.059,1.109231746,T2_K005_8,K005,k006,T2,Kup,0.027027027,-0.077510528
12.293,1.015973091,T2_K005_9,K005,k006,T2,Kup,0.378378378,-0.196462894
11.474,2.043309124,T2_K007_1,K007,k009,T2,Kup,-0.851351351,1.113914699
11.721,0.89490401,T2_K007_10,K007,k009,T2,Kup,-0.48048048,-0.350887742
11.169,1.971347097,T2_K007_2,K007,k009,T2,Kup,-1.309309309,1.022126399
11.499,1.790331247,T2_K007_3,K007,k009,T2,Kup,-0.813813814,0.791238835
11.024,2.055116287,T2_K007_4,K007,k009,T2,Kup,-1.527027027,1.128974856
11.449,0.757027855,T2_K007_5,K007,k009,T2,Kup,-0.888888889,-0.526750185
12.242,0.837788629,T2_K007_6,K007,k009,T2,Kup,0.301801802,-0.423738994
11.668,1.785690228,T2_K007_7,K007,k009,T2,Kup,-0.56006006,0.785319168
11.248,1.64110241,T2_K007_8,K007,k009,T2,Kup,-1.190690691,0.600895931
11.441,1.176524952,T2_K007_9,K007,k009,T2,Kup,-0.900900901,0.008322643
12.365,0,T2_K008_1,K008,k009,T2,Kup,0.486486486,-1.492346939
11.5,0,T2_K008_2,K008,k009,T2,Kup,-0.812312312,-1.492346939
11.877,0,T2_K008_3,K008,k009,T2,Kup,-0.246246246,-1.492346939
11.319,0,T2_K008_4,K008,k009,T2,Kup,-1.084084084,-1.492346939
11.423,0,T2_K008_5,K008,k009,T2,Kup,-0.927927928,-1.492346939
12.082,2.504381876,T2_K010_1,K010,k012,T2,Kup,0.061561562,1.702017699
11.868,1.651164982,T2_K010_10,K010,k012,T2,Kup,-0.25975976,0.613730844
11.804,2.549030335,T2_K010_2,K010,k012,T2,Kup,-0.355855856,1.758967264
11.671,4.04595301,T2_K010_3,K010,k012,T2,Kup,-0.555555556,3.668307411
11.678,2.339914557,T2_K010_4,K010,k012,T2,Kup,-0.545045045,1.492237955
12.064,1.812085901,T2_K010_5,K010,k012,T2,Kup,0.034534535,0.818987119
12.255,2.515856925,T2_K010_6,K010,k012,T2,Kup,0.321321321,1.716654241
11.988,2.359447874,T2_K010_7,K010,k012,T2,Kup,-0.07957958,1.517152901
12.011,2.190791255,T2_K010_8,K010,k012,T2,Kup,-0.045045045,1.302029662
12.242,1.53902478,T2_K010_9,K010,k012,T2,Kup,0.301801802,0.470694872
12.569,1.99547922,T2_K011_1,K011,k012,T2,Kup,0.792792793,1.052907168
12.301,1.540500229,T2_K011_10,K011,k012,T2,Kup,0.39039039,0.472576823
12.147,2.561383703,T2_K011_2,K011,k012,T2,Kup,0.159159159,1.774724111
12.382,1.885985975,T2_K011_3,K011,k012,T2,Kup,0.512012012,0.913247417
12.435,1.429779266,T2_K011_4,K011,k012,T2,Kup,0.591591592,0.331351105
12.102,1.154433665,T2_K011_5,K011,k012,T2,Kup,0.091591592,-0.019855019
12.382,1.494494668,T2_K011_6,K011,k012,T2,Kup,0.512012012,0.41389626
12.047,1.469289311,T2_K011_7,K011,k012,T2,Kup,0.009009009,0.38174657
12.101,1.167586105,T2_K011_8,K011,k012,T2,Kup,0.09009009,-0.003078948
12.263,1.128052809,T2_K011_9,K011,k012,T2,Kup,0.333333333,-0.05350407
12.288,2.142924771,T2_K013_1,K013,k015,T2,Kup,0.370870871,1.240975473
12.024,1.939671618,T2_K013_10,K013,k015,T2,Kup,-0.025525526,0.981724003
12.134,1.609949357,T2_K013_2,K013,k015,T2,Kup,0.13963964,0.561159894
11.946,2.099376558,T2_K013_3,K013,k015,T2,Kup,-0.142642643,1.185429283
11.536,1.881983312,T2_K013_4,K013,k015,T2,Kup,-0.758258258,0.90814198
12.172,1.775770463,T2_K013_5,K013,k015,T2,Kup,0.196696697,0.772666407
12.391,1.708671688,T2_K013_6,K013,k015,T2,Kup,0.525525526,0.687081235
12.343,2.181072024,T2_K013_7,K013,k015,T2,Kup,0.453453453,1.289632684
11.771,1.14839105,T2_K013_8,K013,k015,T2,Kup,-0.405405405,-0.027562436
11.951,1.716220482,T2_K013_9,K013,k015,T2,Kup,-0.135135135,0.696709798
12.224,2.053064837,T2_K014_1,K014,k015,T2,Kup,0.274774775,1.12635821
12.111,1.204449321,T2_K014_10,K014,k015,T2,Kup,0.105105105,0.04394046
11.903,2.179363307,T2_K014_2,K014,k015,T2,Kup,-0.207207207,1.287453198
11.569,3.059253207,T2_K014_3,K014,k015,T2,Kup,-0.708708709,2.409761744
11.755,1.842881827,T2_K014_4,K014,k015,T2,Kup,-0.429429429,0.858267636
12.453,1.213559992,T2_K014_5,K014,k015,T2,Kup,0.618618619,0.055561214
11.603,2.008186101,T2_K014_6,K014,k015,T2,Kup,-0.657657658,1.069114925
12.013,1.839918888,T2_K014_7,K014,k015,T2,Kup,-0.042042042,0.854488378
12.045,1.977065287,T2_K014_8,K014,k015,T2,Kup,0.006006006,1.029420009
12.289,1.40556699,T2_K014_9,K014,k015,T2,Kup,0.372372372,0.300468099
12.113,1.330192874,T2_K016_1,K016,k018,T2,Kup,0.108108108,0.204327645
12.101,1.141825603,T2_K016_10,K016,k018,T2,Kup,0.09009009,-0.035936731
11.743,1.761492057,T2_K016_2,K016,k018,T2,Kup,-0.447447447,0.754454154
12.019,1.698059686,T2_K016_3,K016,k018,T2,Kup,-0.033033033,0.673545518
11.984,1.357155558,T2_K016_4,K016,k018,T2,Kup,-0.085585586,0.238718824
11.326,1.027045112,T2_K016_5,K016,k018,T2,Kup,-1.073573574,-0.182340418
11.764,1.316503861,T2_K016_6,K016,k018,T2,Kup,-0.415915916,0.18686717
11.898,1.094235308,T2_K016_7,K016,k018,T2,Kup,-0.214714715,-0.096638638
12.087,1.129156946,T2_K016_8,K016,k018,T2,Kup,0.069069069,-0.052095732
11.707,1.068539674,T2_K016_9,K016,k018,T2,Kup,-0.501501502,-0.129413681
11.759,1.745110676,T2_K017_1,K017,k018,T2,Kup,-0.423423423,0.733559536
12.304,1.661001635,T2_K017_10,K017,k018,T2,Kup,0.394894895,0.626277596
12.046,1.554941272,T2_K017_2,K017,k018,T2,Kup,0.007507508,0.49099652
12.124,1.959169247,T2_K017_3,K017,k018,T2,Kup,0.124624625,1.006593427
12.056,2.28373206,T2_K017_4,K017,k018,T2,Kup,0.022522523,1.420576607
11.954,1.930457847,T2_K017_5,K017,k018,T2,Kup,-0.130630631,0.969971744
12.213,1.731312813,T2_K017_6,K017,k018,T2,Kup,0.258258258,0.715960221
11.97,1.041332382,T2_K017_7,K017,k018,T2,Kup,-0.106606607,-0.16411686
12.187,1.456524389,T2_K017_8,K017,k018,T2,Kup,0.219219219,0.365464782
11.58,0.5885632,T2_K017_9,K017,k018,T2,Kup,-0.692192192,-0.741628571
12.211,2.079326137,T2_K019_1,K019,k021,T2,Kup,0.255255255,1.159854767
11.877,1.219593757,T2_K019_10,K019,k021,T2,Kup,-0.246246246,0.063257343
12.079,1.506960601,T2_K019_2,K019,k021,T2,Kup,0.057057057,0.429796685
12.4,1.440099457,T2_K019_3,K019,k021,T2,Kup,0.539039039,0.344514614
12.076,1.556630592,T2_K019_4,K019,k021,T2,Kup,0.052552553,0.493151265
12.138,1.372661136,T2_K019_5,K019,k021,T2,Kup,0.145645646,0.258496347
12.466,0.869281966,T2_K019_6,K019,k021,T2,Kup,0.638138138,-0.383568921
11.523,1.17956887,T2_K019_7,K019,k021,T2,Kup,-0.777777778,0.012205191
11.494,1.490745879,T2_K019_8,K019,k021,T2,Kup,-0.821321321,0.409114642
12.171,1.112631194,T2_K019_9,K019,k021,T2,Kup,0.195195195,-0.073174497
12.576,1.931926729,T2_K020_1,K020,k021,T2,Kup,0.803303303,0.971845318
12.529,1.827176121,T2_K020_10,K020,k021,T2,Kup,0.732732733,0.838234848
12.039,1.660715273,T2_K020_2,K020,k021,T2,Kup,-0.003003003,0.625912338
12.362,2.438282029,T2_K020_3,K020,k021,T2,Kup,0.481981982,1.61770667
12.134,1.939786287,T2_K020_4,K020,k021,T2,Kup,0.13963964,0.981870264
12.383,1.791095086,T2_K020_5,K020,k021,T2,Kup,0.513513514,0.79221312
11.789,1.274475305,T2_K020_6,K020,k021,T2,Kup,-0.378378378,0.133259318
11.882,1.752221266,T2_K020_7,K020,k021,T2,Kup,-0.238738739,0.742629166
12.453,1.653831345,T2_K020_8,K020,k021,T2,Kup,0.618618619,0.617131818
12.516,0.796881065,T2_K020_9,K020,k021,T2,Kup,0.713213213,-0.475917009
12.174,2.913283567,T2_K022_1,K022,k024,T2,Kup,0.1996997,2.223575978
12.196,1.905764043,T2_K022_10,K022,k024,T2,Kup,0.232732733,0.938474545
11.924,2.489970164,T2_K022_2,K022,k024,T2,Kup,-0.175675676,1.683635413
12.38,1.939695276,T2_K022_3,K022,k024,T2,Kup,0.509009009,0.981754179
12.344,2.929421681,T2_K022_4,K022,k024,T2,Kup,0.454954955,2.244160307
12.054,3.158699885,T2_K022_5,K022,k024,T2,Kup,0.01951952,2.536606996
12.109,3.155312205,T2_K022_6,K022,k024,T2,Kup,0.102102102,2.532285976
11.814,2.768461194,T2_K022_7,K022,k024,T2,Kup,-0.340840841,2.038853564
12.326,2.681291057,T2_K022_8,K022,k024,T2,Kup,0.427927928,1.927667165
11.694,2.346332032,T2_K022_9,K022,k024,T2,Kup,-0.521021021,1.50042351
12.187,1.800263126,T2_K023_1,K023,k024,T2,Kup,0.219219219,0.803907048
12.146,0.804054104,T2_K023_10,K023,k024,T2,Kup,0.157657658,-0.466767724
12.073,2.102084522,T2_K023_2,K023,k024,T2,Kup,0.048048048,1.188883319
12.193,2.888412663,T2_K023_3,K023,k024,T2,Kup,0.228228228,2.191852886
12.452,2.289038714,T2_K023_4,K023,k024,T2,Kup,0.617117117,1.427345298
