"","TreatmentTank","Location","Family","days.post.fert","indiv.alive","indiv.dead"
"1045","T1","Kup","K16",25,1497369505,8
"1083","T1","Kup","K16",26,1497369505,3
"1121","T1","Kup","K16",27,1497369505,2
"1158","T1","Kup","K16",28,1497369505,1
"1196","T1","Kup","K16",29,1497369505,0
"1234","T1","Kup","K16",30,1497369505,0
"1272","T1","Kup","K16",31,1497369505,0
"1310","T1","Kup","K16",32,1497369505,0
"1347","T1","Kup","K16",33,1497369505,1
"1385","T1","Kup","K16",34,1497369505,0
"1423","T1","Kup","K16",35,1497369505,1
"1461","T1","Kup","K16",36,1497369505,0
"1491","T1","Kup","K16",37,1497369505,0
"1529","T1","Kup","K16",38,1497369505,0
"1567","T1","Kup","K16",39,1497369505,0
"1605","T1","Kup","K16",40,1497369505,6
"1628","T1","Oks 3","O1",2,1497491935,2
"1640","T1","Oks 3","O1",3,1497491935,0
"1654","T1","Oks 3","O1",4,1497491935,2
"1668","T1","Oks 3","O1",5,1497491935,0
"1682","T1","Oks 3","O1",6,1497491935,3
"1696","T1","Oks 3","O1",7,1497491935,8
"1710","T1","Oks 3","O1",8,1497491935,6
"1724","T1","Oks 3","O1",9,1497491935,8
"1738","T1","Oks 3","O1",11,1497491935,12
"1752","T1","Oks 3","O1",12,1497491935,3
"1765","T1","Oks 3","O1",13,1497491935,2
"1778","T1","Oks 3","O1",14,1497491935,0
"1791","T1","Oks 3","O1",15,1497491935,1
"1804","T1","Oks 3","O1",16,1497491935,1
"1817","T1","Oks 3","O1",17,1497491935,1
"1830","T1","Oks 3","O1",18,1497491935,9
"1843","T1","Oks 3","O1",19,1497491935,6
"1856","T1","Oks 3","O1",20,1497491935,1
"1869","T1","Oks 3","O1",21,1497491935,0
"1881","T1","Oks 3","O1",22,1497491935,6
"1894","T1","Oks 3","O1",23,1497491935,7
"1906","T1","Oks 3","O1",24,1497491935,0
"1919","T1","Oks 3","O1",25,1497491935,0
"1932","T1","Oks 3","O1",26,1497491935,0
"1945","T1","Oks 3","O1",27,1497491935,1
"1958","T1","Oks 3","O1",28,1497491935,0
"1971","T1","Oks 3","O1",29,1497491935,3
"1984","T1","Oks 3","O1",30,1497491935,0
"1997","T1","Oks 3","O1",31,1497491935,1
"2010","T1","Oks 3","O1",32,1497491935,0
"2023","T1","Oks 3","O1",33,1497491935,0
"2036","T1","Oks 3","O1",34,1497491935,0
"2049","T1","Oks 3","O1",35,1497491935,0
"2062","T1","Oks 3","O1",36,1497491935,0
"2075","T1","Oks 3","O1",37,1497491935,6
"2088","T1","Oks 3","O1",38,1497491935,1
"2101","T1","Oks 3","O1",39,1497491935,7
"2114","T1","Oks 3","O1",40,1497491935,14
"2127","T1","Oks 3","O1",41,1497491935,0
"1629","T1","Oks 3","O2",2,1497491934,4
"1641","T1","Oks 3","O2",3,1497491934,0
"1655","T1","Oks 3","O2",4,1497491934,2
"1669","T1","Oks 3","O2",5,1497491934,5
"1683","T1","Oks 3","O2",6,1497491934,24
"1697","T1","Oks 3","O2",7,1497491934,7
"1711","T1","Oks 3","O2",8,1497491934,3
"1725","T1","Oks 3","O2",9,1497491934,1
"1739","T1","Oks 3","O2",11,1497491934,11
"1753","T1","Oks 3","O2",12,1497491934,4
"1766","T1","Oks 3","O2",13,1497491934,3
"1779","T1","Oks 3","O2",14,1497491934,1
"1792","T1","Oks 3","O2",15,1497491934,1
"1805","T1","Oks 3","O2",16,1497491934,0
"1818","T1","Oks 3","O2",17,1497491934,0
"1831","T1","Oks 3","O2",18,1497491934,17
"1844","T1","Oks 3","O2",19,1497491934,10
"1857","T1","Oks 3","O2",20,1497491934,2
"1870","T1","Oks 3","O2",21,1497491934,0
"1882","T1","Oks 3","O2",22,1497491934,1
"1895","T1","Oks 3","O2",23,1497491934,9
"1907","T1","Oks 3","O2",24,1497491934,1
"1920","T1","Oks 3","O2",25,1497491934,1
"1933","T1","Oks 3","O2",26,1497491934,1
"1946","T1","Oks 3","O2",27,1497491934,2
"1959","T1","Oks 3","O2",28,1497491934,2
"1972","T1","Oks 3","O2",29,1497491934,2
"1985","T1","Oks 3","O2",30,1497491934,1
"1998","T1","Oks 3","O2",31,1497491934,1
"2011","T1","Oks 3","O2",32,1497491934,1
"2024","T1","Oks 3","O2",33,1497491934,0
"2037","T1","Oks 3","O2",34,1497491934,1
"2050","T1","Oks 3","O2",35,1497491934,0
"2063","T1","Oks 3","O2",36,1497491934,1
"2076","T1","Oks 3","O2",37,1497491934,8
"2089","T1","Oks 3","O2",38,1497491934,0
"2102","T1","Oks 3","O2",39,1497491934,6
"2115","T1","Oks 3","O2",40,1497491934,0
"2128","T1","Oks 3","O2",41,1497491934,0
"1630","T1","Oks 3","O4",2,1497491939,1
"1642","T1","Oks 3","O4",3,1497491939,0
"1656","T1","Oks 3","O4",4,1497491939,2
"1670","T1","Oks 3","O4",5,1497491939,27
"1684","T1","Oks 3","O4",6,1497491939,25
"1698","T1","Oks 3","O4",7,1497491939,22
"1712","T1","Oks 3","O4",8,1497491939,14
"1726","T1","Oks 3","O4",9,1497491939,8
"1740","T1","Oks 3","O4",11,1497491939,8
"1754","T1","Oks 3","O4",12,1497491939,4
"1767","T1","Oks 3","O4",13,1497491939,2
"1780","T1","Oks 3","O4",14,1497491939,2
"1793","T1","Oks 3","O4",15,1497491939,3
"1806","T1","Oks 3","O4",16,1497491939,0
"1819","T1","Oks 3","O4",17,1497491939,7
"1832","T1","Oks 3","O4",18,1497491939,14
"1845","T1","Oks 3","O4",19,1497491939,4
"1858","T1","Oks 3","O4",20,1497491939,3
"1871","T1","Oks 3","O4",21,1497491939,11
"1883","T1","Oks 3","O4",22,1497491939,14
"1896","T1","Oks 3","O4",23,1497491939,18
"1908","T1","Oks 3","O4",24,1497491939,4
"1921","T1","Oks 3","O4",25,1497491939,1
"1934","T1","Oks 3","O4",26,1497491939,5
"1947","T1","Oks 3","O4",27,1497491939,0
"1960","T1","Oks 3","O4",28,1497491939,2
"1973","T1","Oks 3","O4",29,1497491939,3
"1986","T1","Oks 3","O4",30,1497491939,2
"1999","T1","Oks 3","O4",31,1497491939,0
"2012","T1","Oks 3","O4",32,1497491939,1
"2025","T1","Oks 3","O4",33,1497491939,0
"2038","T1","Oks 3","O4",34,1497491939,0
"2051","T1","Oks 3","O4",35,1497491939,2
"2064","T1","Oks 3","O4",36,1497491939,0
"2077","T1","Oks 3","O4",37,1497491939,0
"2090","T1","Oks 3","O4",38,1497491939,1
"2103","T1","Oks 3","O4",39,1497491939,0
"2116","T1","Oks 3","O4",40,1497491939,0
"2129","T1","Oks 3","O4",41,1497491939,0
"1643","T1","Oks 3","O5",3,1497491992,1
"1657","T1","Oks 3","O5",4,1497491992,0
"1671","T1","Oks 3","O5",5,1497491992,0
"1685","T1","Oks 3","O5",6,1497491992,0
"1699","T1","Oks 3","O5",7,1497491992,0
"1713","T1","Oks 3","O5",8,1497491992,0
"1727","T1","Oks 3","O5",9,1497491992,0
"1741","T1","Oks 3","O5",11,1497491992,3
"1755","T1","Oks 3","O5",12,1497491992,1
"1768","T1","Oks 3","O5",13,1497491992,3
"1781","T1","Oks 3","O5",14,1497491992,5
"1794","T1","Oks 3","O5",15,1497491992,8
"1807","T1","Oks 3","O5",16,1497491992,0
"1820","T1","Oks 3","O5",17,1497491992,9
"1833","T1","Oks 3","O5",18,1497491992,29
"1846","T1","Oks 3","O5",19,1497491992,5
"1859","T1","Oks 3","O5",20,1497491992,4
"1872","T1","Oks 3","O5",21,1497491992,1
"1884","T1","Oks 3","O5",22,1497491992,1
"1897","T1","Oks 3","O5",23,1497491992,1
"1909","T1","Oks 3","O5",24,1497491992,0
"1922","T1","Oks 3","O5",25,1497491992,0
"1935","T1","Oks 3","O5",26,1497491992,0
"1948","T1","Oks 3","O5",27,1497491992,0
"1961","T1","Oks 3","O5",28,1497491992,0
"1974","T1","Oks 3","O5",29,1497491992,0
"1987","T1","Oks 3","O5",30,1497491992,0
"2000","T1","Oks 3","O5",31,1497491992,0
"2013","T1","Oks 3","O5",32,1497491992,0
"2026","T1","Oks 3","O5",33,1497491992,0
"2039","T1","Oks 3","O5",34,1497491992,0
"2052","T1","Oks 3","O5",35,1497491992,0
"2065","T1","Oks 3","O5",36,1497491992,0
"2078","T1","Oks 3","O5",37,1497491992,0
"2091","T1","Oks 3","O5",38,1497491992,1
"2104","T1","Oks 3","O5",39,1497491992,0
"2117","T1","Oks 3","O5",40,1497491992,0
"2130","T1","Oks 3","O5",41,1497491992,0
"1644","T1","Oks 3","O6",3,1497491924,0
"1658","T1","Oks 3","O6",4,1497491924,0
"1672","T1","Oks 3","O6",5,1497491924,2
"1686","T1","Oks 3","O6",6,1497491924,0
"1700","T1","Oks 3","O6",7,1497491924,0
"1714","T1","Oks 3","O6",8,1497491924,2
"1728","T1","Oks 3","O6",9,1497491924,0
"1742","T1","Oks 3","O6",11,1497491924,0
"1756","T1","Oks 3","O6",12,1497491924,1
"1769","T1","Oks 3","O6",13,1497491924,0
"1782","T1","Oks 3","O6",14,1497491924,0
"1795","T1","Oks 3","O6",15,1497491924,0
"1808","T1","Oks 3","O6",16,1497491924,0
"1821","T1","Oks 3","O6",17,1497491924,13
"1834","T1","Oks 3","O6",18,1497491924,153
"1847","T1","Oks 3","O6",19,1497491924,4
"1860","T1","Oks 3","O6",20,1497491924,2
"1873","T1","Oks 3","O6",21,1497491924,0
"1885","T1","Oks 3","O6",22,1497491924,0
"1898","T1","Oks 3","O6",23,1497491924,0
"1910","T1","Oks 3","O6",24,1497491924,0
"1923","T1","Oks 3","O6",25,1497491924,0
"1936","T1","Oks 3","O6",26,1497491924,0
"1949","T1","Oks 3","O6",27,1497491924,0
"1962","T1","Oks 3","O6",28,1497491924,0
"1975","T1","Oks 3","O6",29,1497491924,0
"1988","T1","Oks 3","O6",30,1497491924,2
"2001","T1","Oks 3","O6",31,1497491924,0
"2014","T1","Oks 3","O6",32,1497491924,0
"2027","T1","Oks 3","O6",33,1497491924,0
"2040","T1","Oks 3","O6",34,1497491924,0
"2053","T1","Oks 3","O6",35,1497491924,0
"2066","T1","Oks 3","O6",36,1497491924,0
"2079","T1","Oks 3","O6",37,1497491924,0
"2092","T1","Oks 3","O6",38,1497491924,1
"2105","T1","Oks 3","O6",39,1497491924,0
"2118","T1","Oks 3","O6",40,1497491924,0
"2131","T1","Oks 3","O6",41,1497491924,1
"17","T2","Kup","K01",0,1497369522,0
"65","T2","Kup","K01",1,1497369522,2
"113","T2","Kup","K01",2,1497369522,1
"161","T2","Kup","K01",3,1497369522,0
"209","T2","Kup","K01",4,1497369522,1
"257","T2","Kup","K01",5,1497369522,0
"305","T2","Kup","K01",6,1497369522,1
"353","T2","Kup","K01",7,1497369522,4
"401","T2","Kup","K01",8,1497369522,3
"449","T2","Kup","K01",9,1497369522,0
"497","T2","Kup","K01",10,1497369522,3
"545","T2","Kup","K01",12,1497369522,64
"590","T2","Kup","K01",13,1497369522,35
"628","T2","Kup","K01",14,1497369522,10
"666","T2","Kup","K01",15,1497369522,1
"704","T2","Kup","K01",16,1497369522,0
"742","T2","Kup","K01",17,1497369522,1
"780","T2","Kup","K01",18,1497369522,1
"818","T2","Kup","K01",19,1497369522,2
"856","T2","Kup","K01",20,1497369522,2
"894","T2","Kup","K01",21,1497369522,1
"932","T2","Kup","K01",22,1497369522,0
"970","T2","Kup","K01",23,1497369522,0
"1008","T2","Kup","K01",24,1497369522,1
"1046","T2","Kup","K01",25,1497369522,1
"1084","T2","Kup","K01",26,1497369522,1
"1122","T2","Kup","K01",27,1497369522,1
"1159","T2","Kup","K01",28,1497369522,2
"1197","T2","Kup","K01",29,1497369522,1
"1235","T2","Kup","K01",30,1497369522,2
"1273","T2","Kup","K01",31,1497369522,0
"1311","T2","Kup","K01",32,1497369522,3
"1348","T2","Kup","K01",33,1497369522,3
"1386","T2","Kup","K01",34,1497369522,5
"1424","T2","Kup","K01",35,1497369522,4
"1462","T2","Kup","K01",36,1497369522,1
"1492","T2","Kup","K01",37,1497369522,0
"1530","T2","Kup","K01",38,1497369522,1
"1568","T2","Kup","K01",39,1497369522,1
"1606","T2","Kup","K01",40,1497369522,0
"18","T2","Kup","K02",0,1497369520,0
"66","T2","Kup","K02",1,1497369520,3
"114","T2","Kup","K02",2,1497369520,0
"162","T2","Kup","K02",3,1497369520,0
"210","T2","Kup","K02",4,1497369520,3
"258","T2","Kup","K02",5,1497369520,1
"306","T2","Kup","K02",6,1497369520,3
"354","T2","Kup","K02",7,1497369520,1
"402","T2","Kup","K02",8,1497369520,3
"450","T2","Kup","K02",9,1497369520,4
"498","T2","Kup","K02",10,1497369520,7
"546","T2","Kup","K02",12,1497369520,18
"591","T2","Kup","K02",13,1497369520,7
"629","T2","Kup","K02",14,1497369520,4
"667","T2","Kup","K02",15,1497369520,3
"705","T2","Kup","K02",16,1497369520,6
"743","T2","Kup","K02",17,1497369520,4
"781","T2","Kup","K02",18,1497369520,2
"819","T2","Kup","K02",19,1497369520,1
"857","T2","Kup","K02",20,1497369520,4
"895","T2","Kup","K02",21,1497369520,2
"933","T2","Kup","K02",22,1497369520,1
"971","T2","Kup","K02",23,1497369520,0
"1009","T2","Kup","K02",24,1497369520,4
"1047","T2","Kup","K02",25,1497369520,6
"1085","T2","Kup","K02",26,1497369520,1
"1123","T2","Kup","K02",27,1497369520,5
"1160","T2","Kup","K02",28,1497369520,0
"1198","T2","Kup","K02",29,1497369520,3
"1236","T2","Kup","K02",30,1497369520,4
"1274","T2","Kup","K02",31,1497369520,1
"1312","T2","Kup","K02",32,1497369520,0
"1349","T2","Kup","K02",33,1497369520,0
"1387","T2","Kup","K02",34,1497369520,4
"1425","T2","Kup","K02",35,1497369520,0
"1463","T2","Kup","K02",36,1497369520,2
"1493","T2","Kup","K02",37,1497369520,1
"1531","T2","Kup","K02",38,1497369520,1
"1569","T2","Kup","K02",39,1497369520,2
"1607","T2","Kup","K02",40,1497369520,1
"19","T2","Kup","K03",0,1497369529,0
"67","T2","Kup","K03",1,1497369529,0
"115","T2","Kup","K03",2,1497369529,0
"163","T2","Kup","K03",3,1497369529,3
"211","T2","Kup","K03",4,1497369529,1
"259","T2","Kup","K03",5,1497369529,0
"307","T2","Kup","K03",6,1497369529,0
"355","T2","Kup","K03",7,1497369529,0
"403","T2","Kup","K03",8,1497369529,1
"451","T2","Kup","K03",9,1497369529,0
"499","T2","Kup","K03",10,1497369529,0
"547","T2","Kup","K03",12,1497369529,4
"592","T2","Kup","K03",13,1497369529,0
"630","T2","Kup","K03",14,1497369529,6
"668","T2","Kup","K03",15,1497369529,2
"706","T2","Kup","K03",16,1497369529,2
"744","T2","Kup","K03",17,1497369529,4
"782","T2","Kup","K03",18,1497369529,2
"820","T2","Kup","K03",19,1497369529,0
"858","T2","Kup","K03",20,1497369529,1
"896","T2","Kup","K03",21,1497369529,1
"934","T2","Kup","K03",22,1497369529,3
"972","T2","Kup","K03",23,1497369529,5
"1010","T2","Kup","K03",24,1497369529,10
"1048","T2","Kup","K03",25,1497369529,26
"1086","T2","Kup","K03",26,1497369529,5
"1124","T2","Kup","K03",27,1497369529,4
"1161","T2","Kup","K03",28,1497369529,6
"1199","T2","Kup","K03",29,1497369529,2
"1237","T2","Kup","K03",30,1497369529,3
"1275","T2","Kup","K03",31,1497369529,4
"1313","T2","Kup","K03",32,1497369529,1
"1350","T2","Kup","K03",33,1497369529,0
"1388","T2","Kup","K03",34,1497369529,7
"1426","T2","Kup","K03",35,1497369529,4
"1464","T2","Kup","K03",36,1497369529,3
"1494","T2","Kup","K03",37,1497369529,0
"1532","T2","Kup","K03",38,1497369529,0
"1570","T2","Kup","K03",39,1497369529,1
"1608","T2","Kup","K03",40,1497369529,1
"20","T2","Kup","K04",0,1497369529,0
"68","T2","Kup","K04",1,1497369529,3
"116","T2","Kup","K04",2,1497369529,0
"164","T2","Kup","K04",3,1497369529,1
"212","T2","Kup","K04",4,1497369529,2
"260","T2","Kup","K04",5,1497369529,0
"308","T2","Kup","K04",6,1497369529,3
"356","T2","Kup","K04",7,1497369529,6
"404","T2","Kup","K04",8,1497369529,3
"452","T2","Kup","K04",9,1497369529,3
"500","T2","Kup","K04",10,1497369529,0
"548","T2","Kup","K04",12,1497369529,10
"593","T2","Kup","K04",13,1497369529,26
"631","T2","Kup","K04",14,1497369529,1
"669","T2","Kup","K04",15,1497369529,0
"707","T2","Kup","K04",16,1497369529,3
"745","T2","Kup","K04",17,1497369529,6
"783","T2","Kup","K04",18,1497369529,0
"821","T2","Kup","K04",19,1497369529,0
"859","T2","Kup","K04",20,1497369529,0
"897","T2","Kup","K04",21,1497369529,2
"935","T2","Kup","K04",22,1497369529,0
"973","T2","Kup","K04",23,1497369529,0
"1011","T2","Kup","K04",24,1497369529,3
"1049","T2","Kup","K04",25,1497369529,19
"1087","T2","Kup","K04",26,1497369529,16
"1125","T2","Kup","K04",27,1497369529,10
"1162","T2","Kup","K04",28,1497369529,12
"1200","T2","Kup","K04",29,1497369529,7
"1238","T2","Kup","K04",30,1497369529,3
"1276","T2","Kup","K04",31,1497369529,1
"1314","T2","Kup","K04",32,1497369529,1
"1351","T2","Kup","K04",33,1497369529,0
"1389","T2","Kup","K04",34,1497369529,10
"1427","T2","Kup","K04",35,1497369529,0
"1465","T2","Kup","K04",36,1497369529,1
"1495","T2","Kup","K04",37,1497369529,0
"1533","T2","Kup","K04",38,1497369529,0
"1571","T2","Kup","K04",39,1497369529,0
"1609","T2","Kup","K04",40,1497369529,0
"21","T2","Kup","K05",0,1497369535,0
"69","T2","Kup","K05",1,1497369535,15
"117","T2","Kup","K05",2,1497369535,1
"165","T2","Kup","K05",3,1497369535,1
"213","T2","Kup","K05",4,1497369535,10
"261","T2","Kup","K05",5,1497369535,2
"309","T2","Kup","K05",6,1497369535,2
"357","T2","Kup","K05",7,1497369535,1
"405","T2","Kup","K05",8,1497369535,6
"453","T2","Kup","K05",9,1497369535,1
"501","T2","Kup","K05",10,1497369535,0
"549","T2","Kup","K05",12,1497369535,22
"594","T2","Kup","K05",13,1497369535,48
"632","T2","Kup","K05",14,1497369535,2
"670","T2","Kup","K05",15,1497369535,4
"708","T2","Kup","K05",16,1497369535,2
"746","T2","Kup","K05",17,1497369535,1
"784","T2","Kup","K05",18,1497369535,1
"822","T2","Kup","K05",19,1497369535,0
"860","T2","Kup","K05",20,1497369535,1
"898","T2","Kup","K05",21,1497369535,3
"936","T2","Kup","K05",22,1497369535,0
"974","T2","Kup","K05",23,1497369535,0
"1012","T2","Kup","K05",24,1497369535,1
"1050","T2","Kup","K05",25,1497369535,5
"1088","T2","Kup","K05",26,1497369535,7
"1126","T2","Kup","K05",27,1497369535,8
"1163","T2","Kup","K05",28,1497369535,9
"1201","T2","Kup","K05",29,1497369535,12
"1239","T2","Kup","K05",30,1497369535,1
"1277","T2","Kup","K05",31,1497369535,0
"1315","T2","Kup","K05",32,1497369535,0
"1352","T2","Kup","K05",33,1497369535,0
"1390","T2","Kup","K05",34,1497369535,0
"1428","T2","Kup","K05",35,1497369535,0
"1466","T2","Kup","K05",36,1497369535,0
"1496","T2","Kup","K05",37,1497369535,0
"1534","T2","Kup","K05",38,1497369535,1
"1572","T2","Kup","K05",39,1497369535,2
"1610","T2","Kup","K05",40,1497369535,2
"22","T2","Kup","K06",0,1497369574,0
"70","T2","Kup","K06",1,1497369574,1
"118","T2","Kup","K06",2,1497369574,35
"166","T2","Kup","K06",3,1497369574,155
"214","T2","Kup","K06",4,1497369574,20
"262","T2","Kup","K06",5,1497369574,12
"310","T2","Kup","K06",6,1497369574,2
"358","T2","Kup","K06",7,1497369574,4
"406","T2","Kup","K06",8,1497369574,6
"454","T2","Kup","K06",9,1497369574,4
"502","T2","Kup","K06",10,1497369574,3
"550","T2","Kup","K06",12,1497369574,24
"595","T2","Kup","K06",13,1497369574,1
"633","T2","Kup","K06",14,1497369574,7
"671","T2","Kup","K06",15,1497369574,0
"709","T2","Kup","K06",16,1497369574,1
"747","T2","Kup","K06",17,1497369574,1
"785","T2","Kup","K06",18,1497369574,0
"823","T2","Kup","K06",19,1497369574,0
"861","T2","Kup","K06",20,1497369574,5
"899","T2","Kup","K06",21,1497369574,0
"937","T2","Kup","K06",22,1497369574,0
"975","T2","Kup","K06",23,1497369574,0
"1013","T2","Kup","K06",24,1497369574,0
"1051","T2","Kup","K06",25,1497369574,0
"1089","T2","Kup","K06",26,1497369574,0
"1127","T2","Kup","K06",27,1497369574,0
"1164","T2","Kup","K06",28,1497369574,0
"1202","T2","Kup","K06",29,1497369574,0
"1240","T2","Kup","K06",30,1497369574,0
"1278","T2","Kup","K06",31,1497369574,1
"1316","T2","Kup","K06",32,1497369574,0
"1353","T2","Kup","K06",33,1497369574,0
"1391","T2","Kup","K06",34,1497369574,1
"1429","T2","Kup","K06",35,1497369574,2
"1467","T2","Kup","K06",36,1497369574,0
"1497","T2","Kup","K06",37,1497369574,1
"1535","T2","Kup","K06",38,1497369574,1
"1573","T2","Kup","K06",39,1497369574,0
"1611","T2","Kup","K06",40,1497369574,0
"23","T2","Kup","K07",0,1497369535,0
"71","T2","Kup","K07",1,1497369535,1
"119","T2","Kup","K07",2,1497369535,1
"167","T2","Kup","K07",3,1497369535,1
"215","T2","Kup","K07",4,1497369535,1
"263","T2","Kup","K07",5,1497369535,4
"311","T2","Kup","K07",6,1497369535,0
"359","T2","Kup","K07",7,1497369535,0
"407","T2","Kup","K07",8,1497369535,0
"455","T2","Kup","K07",9,1497369535,2
"503","T2","Kup","K07",10,1497369535,0
"551","T2","Kup","K07",12,1497369535,4
"596","T2","Kup","K07",13,1497369535,17
"634","T2","Kup","K07",14,1497369535,2
"672","T2","Kup","K07",15,1497369535,6
"710","T2","Kup","K07",16,1497369535,13
"748","T2","Kup","K07",17,1497369535,0
"786","T2","Kup","K07",18,1497369535,1
"824","T2","Kup","K07",19,1497369535,0
"862","T2","Kup","K07",20,1497369535,2
"900","T2","Kup","K07",21,1497369535,1
"938","T2","Kup","K07",22,1497369535,3
"976","T2","Kup","K07",23,1497369535,0
"1014","T2","Kup","K07",24,1497369535,3
"1052","T2","Kup","K07",25,1497369535,10
"1090","T2","Kup","K07",26,1497369535,5
"1128","T2","Kup","K07",27,1497369535,2
"1165","T2","Kup","K07",28,1497369535,7
"1203","T2","Kup","K07",29,1497369535,8
"1241","T2","Kup","K07",30,1497369535,3
"1279","T2","Kup","K07",31,1497369535,0
"1317","T2","Kup","K07",32,1497369535,0
"1354","T2","Kup","K07",33,1497369535,0
"1392","T2","Kup","K07",34,1497369535,0
"1430","T2","Kup","K07",35,1497369535,0
"1468","T2","Kup","K07",36,1497369535,0
"1498","T2","Kup","K07",37,1497369535,0
"1536","T2","Kup","K07",38,1497369535,2
"1574","T2","Kup","K07",39,1497369535,5
"1612","T2","Kup","K07",40,1497369535,2
"24","T2","Kup","K08",0,1497369535,0
"72","T2","Kup","K08",1,1497369535,1
"120","T2","Kup","K08",2,1497369535,0
"168","T2","Kup","K08",3,1497369535,3
"216","T2","Kup","K08",4,1497369535,2
"264","T2","Kup","K08",5,1497369535,1
"312","T2","Kup","K08",6,1497369535,0
"360","T2","Kup","K08",7,1497369535,2
"408","T2","Kup","K08",8,1497369535,1
"456","T2","Kup","K08",9,1497369535,0
"504","T2","Kup","K08",10,1497369535,0
"552","T2","Kup","K08",12,1497369535,8
"597","T2","Kup","K08",13,1497369535,11
"635","T2","Kup","K08",14,1497369535,1
"673","T2","Kup","K08",15,1497369535,0
"711","T2","Kup","K08",16,1497369535,0
"749","T2","Kup","K08",17,1497369535,0
"787","T2","Kup","K08",18,1497369535,0
"825","T2","Kup","K08",19,1497369535,0
"863","T2","Kup","K08",20,1497369535,3
"901","T2","Kup","K08",21,1497369535,1
"939","T2","Kup","K08",22,1497369535,1
"977","T2","Kup","K08",23,1497369535,2
"1015","T2","Kup","K08",24,1497369535,2
"1053","T2","Kup","K08",25,1497369535,9
"1091","T2","Kup","K08",26,1497369535,1
"1129","T2","Kup","K08",27,1497369535,3
"1166","T2","Kup","K08",28,1497369535,9
"1204","T2","Kup","K08",29,1497369535,5
"1242","T2","Kup","K08",30,1497369535,11
"1280","T2","Kup","K08",31,1497369535,0
"1318","T2","Kup","K08",32,1497369535,0
"1355","T2","Kup","K08",33,1497369535,0
"1393","T2","Kup","K08",34,1497369535,1
"1431","T2","Kup","K08",35,1497369535,0
"1469","T2","Kup","K08",36,1497369535,1
"1499","T2","Kup","K08",37,1497369535,1
"1537","T2","Kup","K08",38,1497369535,4
"1575","T2","Kup","K08",39,1497369535,3
"1613","T2","Kup","K08",40,1497369535,3
"25","T2","Kup","K09",0,1497369525,0
"73","T2","Kup","K09",1,1497369525,0
"121","T2","Kup","K09",2,1497369525,1
"169","T2","Kup","K09",3,1497369525,0
"217","T2","Kup","K09",4,1497369525,1
"265","T2","Kup","K09",5,1497369525,1
"313","T2","Kup","K09",6,1497369525,1
"361","T2","Kup","K09",7,1497369525,0
"409","T2","Kup","K09",8,1497369525,0
"457","T2","Kup","K09",9,1497369525,1
"505","T2","Kup","K09",10,1497369525,0
"553","T2","Kup","K09",12,1497369525,4
"598","T2","Kup","K09",13,1497369525,5
"636","T2","Kup","K09",14,1497369525,2
"674","T2","Kup","K09",15,1497369525,0
"712","T2","Kup","K09",16,1497369525,3
"750","T2","Kup","K09",17,1497369525,0
"788","T2","Kup","K09",18,1497369525,3
"826","T2","Kup","K09",19,1497369525,0
"864","T2","Kup","K09",20,1497369525,2
"902","T2","Kup","K09",21,1497369525,0
"940","T2","Kup","K09",22,1497369525,1
"978","T2","Kup","K09",23,1497369525,2
"1016","T2","Kup","K09",24,1497369525,5
"1054","T2","Kup","K09",25,1497369525,39
"1092","T2","Kup","K09",26,1497369525,11
"1130","T2","Kup","K09",27,1497369525,12
"1167","T2","Kup","K09",28,1497369525,11
"1205","T2","Kup","K09",29,1497369525,11
"1243","T2","Kup","K09",30,1497369525,11
"1281","T2","Kup","K09",31,1497369525,2
"1319","T2","Kup","K09",32,1497369525,0
"1356","T2","Kup","K09",33,1497369525,1
"1394","T2","Kup","K09",34,1497369525,3
"1432","T2","Kup","K09",35,1497369525,6
"1500","T2","Kup","K09",37,1497369525,5
"1538","T2","Kup","K09",38,1497369525,2
"1576","T2","Kup","K09",39,1497369525,0
"1614","T2","Kup","K09",40,1497369525,2
"26","T2","Kup","K10",0,1497369540,0
"74","T2","Kup","K10",1,1497369540,5
"122","T2","Kup","K10",2,1497369540,3
"170","T2","Kup","K10",3,1497369540,2
"218","T2","Kup","K10",4,1497369540,1
"266","T2","Kup","K10",5,1497369540,3
"314","T2","Kup","K10",6,1497369540,2
"362","T2","Kup","K10",7,1497369540,1
"410","T2","Kup","K10",8,1497369540,4
"458","T2","Kup","K10",9,1497369540,4
"506","T2","Kup","K10",10,1497369540,1
"554","T2","Kup","K10",12,1497369540,9
"599","T2","Kup","K10",13,1497369540,14
"637","T2","Kup","K10",14,1497369540,20
"675","T2","Kup","K10",15,1497369540,3
"713","T2","Kup","K10",16,1497369540,4
"751","T2","Kup","K10",17,1497369540,7
"789","T2","Kup","K10",18,1497369540,3
"827","T2","Kup","K10",19,1497369540,0
"865","T2","Kup","K10",20,1497369540,3
"903","T2","Kup","K10",21,1497369540,2
"941","T2","Kup","K10",22,1497369540,5
"979","T2","Kup","K10",23,1497369540,4
"1017","T2","Kup","K10",24,1497369540,6
"1055","T2","Kup","K10",25,1497369540,8
"1093","T2","Kup","K10",26,1497369540,0
"1131","T2","Kup","K10",27,1497369540,4
"1168","T2","Kup","K10",28,1497369540,7
"1206","T2","Kup","K10",29,1497369540,1
"1244","T2","Kup","K10",30,1497369540,10
"1282","T2","Kup","K10",31,1497369540,2
"1320","T2","Kup","K10",32,1497369540,4
