z_length,z_yolk_vol,animal,treatment,population,length,yolk_vol
-1.369074492,,T2_K001_1,T2,Kup,9.296,
-2.196388262,,T2_K001_10,T2,Kup,8.563,
-2.757336343,,T2_K001_2,T2,Kup,8.066,
-2.094808126,,T2_K001_3,T2,Kup,8.653,
-2.546275395,,T2_K001_4,T2,Kup,8.253,
-1.599322799,,T2_K001_5,T2,Kup,9.092,
-2.573363431,,T2_K001_6,T2,Kup,8.229,
-2.507900677,,T2_K001_7,T2,Kup,8.287,
-3.176072235,,T2_K001_8,T2,Kup,7.695,
-4.954853273,,T2_K001_9,T2,Kup,6.119,
-0.275395034,0.576341217,T2_K002_1,T2,Kup,10.265,4.318144548
-0.957110609,0.355451418,T2_K002_10,T2,Kup,9.661,4.022593997
-0.85214447,0.99684146,T2_K002_2,T2,Kup,9.754,4.880773874
0.057562077,0.754737434,T2_K002_3,T2,Kup,10.56,4.556838687
-0.674943567,1.053803145,T2_K002_4,T2,Kup,9.911,4.956988608
-0.423250564,0.101116089,T2_K002_5,T2,Kup,10.134,3.682293327
-0.564334086,0.43905285,T2_K002_6,T2,Kup,10.009,4.134452713
-0.742663657,0.02259441,T2_K002_7,T2,Kup,9.851,3.57723132
-0.786681716,0.114700137,T2_K002_8,T2,Kup,9.812,3.700468783
-1.293453725,0.2236408,T2_K002_9,T2,Kup,9.363,3.84623139
0.611738149,1.932161632,T2_K004_1,T2,Kup,11.051,6.132232264
-0.505643341,2.368463309,T2_K004_10,T2,Kup,10.061,6.716003908
-0.230248307,0.585719511,T2_K004_2,T2,Kup,10.305,4.330692706
0.0496614,1.086184552,T2_K004_3,T2,Kup,10.553,5.00031493
0.519187359,1.324457623,T2_K004_4,T2,Kup,10.969,5.3191243
-0.379232506,1.868787469,T2_K004_5,T2,Kup,10.173,6.047437633
-0.242663657,1.465551322,T2_K004_6,T2,Kup,10.294,5.507907669
-0.050790068,0.440686882,T2_K004_7,T2,Kup,10.464,4.136639048
-0.016930023,0.753645552,T2_K004_8,T2,Kup,10.494,4.555377748
-0.954853273,0.418707351,T2_K004_9,T2,Kup,9.663,4.107230436
0.177200903,-0.573759078,T2_K005_1,T2,Kup,10.666,2.779310353
0.659142212,-0.978406697,T2_K005_10,T2,Kup,11.093,2.23789184
0.574492099,-1.262622528,T2_K005_2,T2,Kup,11.018,1.857611057
0.452595937,-0.877845472,T2_K005_3,T2,Kup,10.91,2.372442758
0.205417607,-0.958593173,T2_K005_4,T2,Kup,10.691,2.264402334
0.840857788,-1.458553337,T2_K005_5,T2,Kup,11.254,1.595455635
-1.148984199,0.115441171,T2_K005_6,T2,Kup,9.491,3.701460287
-0.021444695,-1.164091464,T2_K005_7,T2,Kup,10.49,1.989445621
1.090293454,-1.161480307,T2_K005_8,T2,Kup,11.475,1.992939349
0.941309255,-1.284963167,T2_K005_9,T2,Kup,11.343,1.827719283
-0.521444695,1.807214336,T2_K007_1,T2,Kup,10.047,5.965052782
0.031602709,0.497160501,T2_K007_10,T2,Kup,10.537,4.212200751
-0.217832957,1.318927321,T2_K007_2,T2,Kup,10.316,5.311724756
-0.533860045,1.573170495,T2_K007_3,T2,Kup,10.036,5.651902122
-0.65462754,0.466673117,T2_K007_4,T2,Kup,9.929,4.171408631
-0.458239278,0.847893878,T2_K007_5,T2,Kup,10.103,4.681482009
